,0,1,2,3,4
RP11-34P13.7,0,0.000586166471277843,0,0,0
FO538757.2,0.00219768520630865,0.00306319252732292,0.000654570744778776,0.00316393396518266,0.000452744765138653
AP006222.2,0.00602487555961665,0.0013279523597091,0.00471938990241357,0.00408144370462384,0.000760751436112405
RP4-669L17.10,0.000235737859500236,0,0.000317057704502219,0,0
RP5-857K21.4,0,0,0.000634115409004439,0,0
RP11-206L10.9,0.000424328147100424,0.000234466588511137,6.34115409004439e-05,0.000784655623365301,0.000175438596491228
LINC00115,0.000471475719000472,0,0,0,0
FAM41C,0.00263376091303712,0.000818611796094919,0.00184768110554742,0.00294621651685055,0.000483968542044767
SAMD11,0,0.000195388823759281,0.000845487212005919,0,0
NOC2L,0.0060891533897325,0.00199628392576699,0.00344575920364676,0.00296918951818526,0.000810989738497186
KLHL17,0.000942951438000944,0.000293083235638922,7.9264426125555e-05,0.000108979947689625,0
HES4,0,0,0,0.0027898866608544,0.000350877192982456
ISG15,0.00296917446846726,0.000174454306927929,0.00127577981097322,0.00997425997425997,0.00300751879699248
AGRN,0.00259802765990885,0.001764605314576,0.00111630733460156,0.0131139203719849,0.000456871345029239
C1orf159,0,0.00105509964830012,0,0.000697471665213601,0
TNFRSF4,0,0.000586166471277843,0,0,0
SDF4,0.027537460143911,0.0291716712577047,0.00749008303151256,0.00393843279257885,0.00603092598572095
B3GALT6,0.00639533999482897,0.00273229209998865,0.000654570744778776,0.000689034507973113,2.82965478211658e-05
FAM132A,0.0133584787050134,0.00425028158977542,0.0105064219727206,0.00603107851684701,0.00275197798417613
UBE2J2,0.0100917879652275,0.00682423239638184,0.00763483435590628,0.0142876720716833,0.00528076042950185
SCNN1D,0.00053041018387553,0.000293083235638922,7.9264426125555e-05,0,0.000877192982456141
ACAP3,0.00246702411104898,0.000872433817715859,0.00119449646812464,0.00129762170272298,0.000367197062423501
PUSL1,0.00174357058347344,0.000895839324028402,0.000586257642287123,0.00657992136993963,0.000297914597815293
CPSF3L,0.00530410183875531,0.00312947766054448,0.00880715845839498,0.00736704446381866,0.00219298245614035
CPTP,0.00299349662857442,0.00182362902175329,0.000815291240148563,0.00233874427422814,0.00136452241715399
DVL1,0.0042004200420042,0.00130555259511883,0.00233469764224361,0.00570658635174764,0.000318979266347687
MXRA8,0.00030309153364316,0.000376821302964328,0.000181175831144125,0.00155685639556607,0.00012531328320802
AURKAIP1,0.128056172964235,0.0536519845921956,0.167668085877344,0.12205754141238,0.0442150375939849
CCNL2,0.00295108875966962,0.00521579610090747,0.00396909274525001,0.00181633246149375,0.00162443144899285
MRPL20,0.0810563199177061,0.0384738356602366,0.08942439614919,0.0867971784100816,0.0258373205741627
ANKRD65,0.000235737859500236,0,0,0.0004359197907585,0
