,0,1,2,3,4,5,6
RP11-34P13.7,0,0,0,0,0.00934579439252336,0,0
FO538757.2,0.00264628050573361,0.00894441159077469,0.0245009074410163,0.045933014354067,0.014879488440728,0.00150375939849624,0.00701754385964913
AP006222.2,0.0110369260117182,0.00219238147437654,0.011354079058032,0.00946045824094605,0.0145885571005243,0,0.00731707317073171
RP4-669L17.10,0.00279329608938548,0,0,0,0,0.0142857142857143,0
RP11-206L10.9,0,0.00224719101123596,0.00517241379310345,0.00242424242424243,0.000934579439252336,0.00285714285714286,0.00333333333333333
LINC00115,0,0.000936329588014982,0.00383141762452107,0.00101010101010101,0.00623052959501558,0,0
FAM41C,0.0223463687150838,0.000351123595505618,0.00323275862068966,0.00151515151515152,0.00058411214953271,0,0.00208333333333334
RP11-54O7.1,0,0,0,0,0.00934579439252336,0,0
RP11-54O7.3,0,0,0,0.00121212121212121,0.0299065420560748,0,0
SAMD11,0,0,0.00795755968169761,0.00582750582750583,0.0129403306973401,0,0.103846153846154
NOC2L,0.00508442658966795,0.0142027521777553,0.0209221232080589,0.0329588014981273,0.0151212853092513,0.00513643659711075,0.0303370786516854
KLHL17,0.000507872016251905,0,0.00470219435736677,0.0137741046831956,0.00339847068819032,0,0
PLEKHN1,0,0,0.00574712643678161,0.0168350168350168,0.00103842159916926,0,0
RP11-54O7.17,0,0.00112359550561798,0.00114942528735632,0.00484848484848485,0,0,0.00666666666666667
HES4,0.00614098682246577,0.0412127969808731,0.0600596648240765,0.0389081656257229,0.00349575515445531,0.000218102508178844,0.0498727735368957
ISG15,0.0500724187875026,0.00260091552226384,0.00266070668369519,0.0090909090909091,0.00155763239875389,0.0132275132275132,0.0154320987654321
AGRN,0.00182465309064696,0.0438564697354114,0.130353170189099,0.0371700879765396,0.144859813084112,0.001036866359447,0.0344086021505376
RNF223,0,0,0.00459770114942529,0.00121212121212121,0.00747663551401869,0,0
C1orf159,0.000798084596967279,0,0.00738916256157636,0.00346320346320347,0.00133511348464619,0,0
LINC01342,0,0,0.00574712643678161,0,0,0,0
