,CK5_organoid,CK119_organoid,JX1_HC_organoid,JX2_PKD1KO_organoid,JX3_PKD2KO_organoid
Initial,2792,5681,8779,1329,3665
afterQC,2403,3958,7802,759,2638
Final,2291,3693,5631,496,1483
