,CK224_PT25_PKD2-,CK225_PT8_PKD1-,ADPKD3,Control1,Control2
Initial,4327,7054,6422,6536,5039
afterQC,3746,6250,5733,6045,4735
Final,3746,6250,5733,6045,4735
