"sample","population","num_cells","percentage"
"ADPKD3_ADPKD3_kidney","PC-CD/CNT",440,7.67486481772196
"ADPKD3_ADPKD3_kidney","PT_1",389,6.78527821384964
"ADPKD3_ADPKD3_kidney","TAL_1",677,11.8088260945404
"ADPKD3_ADPKD3_kidney","TAL_2",1703,29.7052154195011
"ADPKD3_ADPKD3_kidney","DCT_1",253,4.41304727019013
"ADPKD3_ADPKD3_kidney","EC",215,3.75021803593232
"ADPKD3_ADPKD3_kidney","PT_3/PEC",185,3.22693179836037
"ADPKD3_ADPKD3_kidney","PT_4",400,6.97714983429269
"ADPKD3_ADPKD3_kidney","PT_2",724,12.6286412000698
"ADPKD3_ADPKD3_kidney","vSMC/Fib",420,7.32600732600733
"ADPKD3_ADPKD3_kidney","T-Cell",82,1.43031571603
"ADPKD3_ADPKD3_kidney","IC-A",23,0.40118611547183
"ADPKD3_ADPKD3_kidney","Pod",18,0.313971742543171
"ADPKD3_ADPKD3_kidney","B-Cell",61,1.06401534972964
"ADPKD3_ADPKD3_kidney","Mac",86,1.50008721437293
"ADPKD3_ADPKD3_kidney","IC-B",37,0.645386359672074
"ADPKD3_ADPKD3_kidney","DCT_2",6,0.10465724751439
"ADPKD3_ADPKD3_kidney","Mast-Cell",8,0.139542996685854
"ADPKD3_ADPKD3_kidney","Unk_1",5,0.0872143729286586
"ADPKD3_ADPKD3_kidney","Unk_2",1,0.0174428745857317
"CK224_kidney_PKD2-","PC-CD/CNT",209,5.57928457020822
"CK224_kidney_PKD2-","PT_1",17,0.453817405232248
"CK224_kidney_PKD2-","TAL_1",293,7.82167645488521
"CK224_kidney_PKD2-","TAL_2",239,6.38013881473572
"CK224_kidney_PKD2-","DCT_1",63,1.68179391350774
"CK224_kidney_PKD2-","EC",137,3.65723438334223
"CK224_kidney_PKD2-","PT_3/PEC",669,17.8590496529632
"CK224_kidney_PKD2-","PT_4",27,0.720768820074746
"CK224_kidney_PKD2-","PT_2",47,1.25467164975974
"CK224_kidney_PKD2-","vSMC/Fib",400,10.6780565936999
"CK224_kidney_PKD2-","T-Cell",875,23.3582487987186
"CK224_kidney_PKD2-","IC-A",27,0.720768820074746
"CK224_kidney_PKD2-","Pod",10,0.266951414842499
"CK224_kidney_PKD2-","B-Cell",387,10.3310197544047
"CK224_kidney_PKD2-","Mac",268,7.15429791777896
"CK224_kidney_PKD2-","IC-B",3,0.0800854244527496
"CK224_kidney_PKD2-","DCT_2",1,0.0266951414842499
"CK224_kidney_PKD2-","Mast-Cell",55,1.46823278163374
"CK224_kidney_PKD2-","Unk_1",2,0.0533902829684997
"CK224_kidney_PKD2-","Unk_2",17,0.453817405232248
"CK225_kidney_PKD1-","PC-CD/CNT",2437,38.992
"CK225_kidney_PKD1-","PT_1",38,0.608
"CK225_kidney_PKD1-","TAL_1",189,3.024
"CK225_kidney_PKD1-","TAL_2",181,2.896
"CK225_kidney_PKD1-","DCT_1",245,3.92
"CK225_kidney_PKD1-","EC",202,3.232
"CK225_kidney_PKD1-","PT_3/PEC",718,11.488
"CK225_kidney_PKD1-","PT_4",37,0.592
"CK225_kidney_PKD1-","PT_2",64,1.024
"CK225_kidney_PKD1-","vSMC/Fib",256,4.096
"CK225_kidney_PKD1-","T-Cell",179,2.864
"CK225_kidney_PKD1-","IC-A",429,6.864
"CK225_kidney_PKD1-","Pod",467,7.472
"CK225_kidney_PKD1-","B-Cell",92,1.472
"CK225_kidney_PKD1-","Mac",174,2.784
"CK225_kidney_PKD1-","IC-B",357,5.712
"CK225_kidney_PKD1-","DCT_2",5,0.08
"CK225_kidney_PKD1-","Mast-Cell",158,2.528
