,0,1,2,3,4,5,6,7,8,9
RP11-34P13.7,0.0018034265103697,0,0,0.00350262697022767,0.00188323917137476,0,0,0,0,0
FO538757.2,0.09107303877367,0.0128504672897196,0.0175718849840256,0.0140105078809107,0.0677966101694915,0.0450097847358121,0.019047619047619,0.0191693290734824,0.0798722044728434,0.0769230769230769
AP006222.2,0.0216411181244364,0.0514018691588785,0.060702875399361,0.0385288966725044,0.0772128060263653,0.12133072407045,0.0357142857142857,0.0575079872204473,0.0383386581469649,0.141025641025641
RP4-669L17.10,0.000901713255184851,0.00116822429906542,0,0.00175131348511384,0,0,0,0,0.00319488817891374,0
RP5-857K21.4,0.000901713255184851,0,0,0,0,0,0,0,0,0
RP5-857K21.2,0,0,0,0,0,0.00195694716242661,0,0,0,0
RP11-206L10.9,0.0342651036970243,0.00700934579439252,0.00638977635782748,0,0.0207156308851224,0.025440313111546,0.00476190476190476,0.00638977635782748,0.0383386581469649,0.0384615384615385
LINC00115,0.00901713255184851,0,0.00159744408945687,0,0.00564971751412429,0.00978473581213307,0,0,0.00638977635782748,0
FAM41C,0.00541027953110911,0.00116822429906542,0.00159744408945687,0,0.00376647834274953,0.00391389432485323,0.00238095238095238,0,0.00638977635782748,0
RP11-54O7.1,0.0036068530207394,0,0,0,0.00188323917137476,0,0,0,0.00319488817891374,0
RP11-54O7.3,0.00721370604147881,0.00116822429906542,0,0,0.00376647834274953,0,0,0,0,0.0128205128205128
SAMD11,0.00721370604147881,0.00116822429906542,0,0,0.0169491525423729,0.00195694716242661,0.00238095238095238,0.00319488817891374,0,0.0384615384615385
NOC2L,0.169522091974752,0.14018691588785,0.225239616613419,0.192644483362522,0.184557438794727,0.13894324853229,0.254761904761905,0.0926517571884984,0.217252396166134,0.179487179487179
KLHL17,0.0387736699729486,0.0058411214953271,0.00479233226837061,0.00700525394045534,0.00753295668549906,0.00978473581213307,0.00476190476190476,0.00319488817891374,0.0383386581469649,0.0256410256410256
PLEKHN1,0.0586113615870153,0.0128504672897196,0.00798722044728434,0.031523642732049,0.0188323917137476,0.0430528375733855,0.00952380952380952,0.00638977635782748,0.060702875399361,0.0769230769230769
PERM1,0,0,0,0,0.00188323917137476,0,0.00238095238095238,0.00319488817891374,0,0.0128205128205128
RP11-54O7.17,0.0018034265103697,0,0,0.00175131348511384,0,0.00391389432485323,0,0,0,0
HES4,0.151487826871055,0.320093457943925,0.407348242811502,0.683012259194396,0.129943502824859,0.688845401174168,0.530952380952381,0.293929712460064,0.255591054313099,0.243589743589744
ISG15,0.0811541929666366,0.457943925233645,0.28594249201278,0.423817863397548,0.146892655367232,0.677103718199609,0.264285714285714,0.386581469648562,0.130990415335463,0.576923076923077
AGRN,0.676284941388638,0.532710280373832,0.37220447284345,0.57092819614711,0.566854990583804,0.371819960861057,0.423809523809524,0.412140575079872,0.763578274760383,0.435897435897436
RNF223,0.00631199278629396,0.00116822429906542,0,0.00700525394045534,0.00564971751412429,0.0567514677103718,0.0119047619047619,0.00319488817891374,0.00319488817891374,0
C1orf159,0.0297565374211001,0.0058411214953271,0.00798722044728434,0.00700525394045534,0.0188323917137476,0.00978473581213307,0.00714285714285714,0,0.0383386581469649,0
LINC01342,0.00631199278629396,0,0,0.00175131348511384,0.00188323917137476,0,0,0,0,0
RP11-465B22.8,0.0883678990081154,0.00350467289719626,0.00479233226837061,0.0122591943957968,0.0508474576271186,0.025440313111546,0.019047619047619,0.00638977635782748,0.060702875399361,0
TTLL10,0.0036068530207394,0,0,0,0.00188323917137476,0.00195694716242661,0,0,0,0
TNFRSF18,0.00270513976555455,0,0,0,0.0131826741996234,0.00587084148727984,0.00238095238095238,0.0159744408945687,0.00638977635782748,0.0128205128205128
SDF4,0.174932371505861,0.517523364485981,0.493610223642172,0.436077057793345,0.386064030131827,0.459882583170254,0.492857142857143,0.428115015974441,0.364217252396166,0.5
B3GALT6,0.0559062218214608,0.0455607476635514,0.0750798722044728,0.0647985989492119,0.0847457627118644,0.0900195694716243,0.0571428571428571,0.0415335463258786,0.124600638977636,0.0897435897435897
FAM132A,0.00721370604147881,0,0.00159744408945687,0,0,0.00195694716242661,0,0.00319488817891374,0.00638977635782748,0
RP5-902P8.12,0.000901713255184851,0,0,0,0,0,0,0,0,0
UBE2J2,0.0622182146077547,0.172897196261682,0.210862619808307,0.236427320490368,0.145009416195857,0.199608610567515,0.214285714285714,0.012779552715655,0.150159744408946,0.282051282051282
RP5-902P8.10,0.000901713255184851,0,0,0,0,0,0,0,0,0
SCNN1D,0.00811541929666366,0.00116822429906542,0,0,0.00564971751412429,0.00978473581213307,0,0.0159744408945687,0.012779552715655,0
ACAP3,0.066726780883679,0.0116822429906542,0.0111821086261981,0.00175131348511384,0.0244821092278719,0.0391389432485323,0.00714285714285714,0.0255591054313099,0.0766773162939297,0.0384615384615385
PUSL1,0.0144274120829576,0.044392523364486,0.0798722044728434,0.0893169877408056,0.0433145009416196,0.129158512720157,0.0857142857142857,0.0511182108626198,0.0511182108626198,0.0512820512820513
CPSF3L,0.135256988277728,0.126168224299065,0.169329073482428,0.148861646234676,0.131826741996234,0.183953033268102,0.20952380952381,0.0894568690095847,0.111821086261981,0.153846153846154
CPTP,0.0306582506762849,0.0268691588785047,0.0543130990415335,0.0647985989492119,0.0564971751412429,0.0939334637964775,0.0261904761904762,0.00958466453674121,0.0926517571884984,0.0512820512820513
DVL1,0.118124436429216,0.0771028037383178,0.116613418530351,0.220665499124343,0.0903954802259887,0.129158512720157,0.164285714285714,0.0670926517571885,0.201277955271566,0.115384615384615
MXRA8,0.0036068530207394,0.00350467289719626,0.00159744408945687,0,0.00188323917137476,0,0,0,0.00319488817891374,0.0256410256410256
AURKAIP1,0.172227231740307,0.982476635514019,0.992012779552716,0.966725043782837,0.806026365348399,0.853228962818004,0.983333333333333,0.661341853035144,0.507987220447284,0.948717948717949
CCNL2,0.376916140667268,0.150700934579439,0.0670926517571885,0.129597197898424,0.261770244821092,0.187866927592955,0.1,0.150159744408946,0.271565495207668,0.141025641025641
MRPL20,0.1487826871055,0.871495327102804,0.916932907348243,0.884413309982487,0.67984934086629,0.589041095890411,0.911904761904762,0.252396166134185,0.332268370607029,0.794871794871795
RP4-758J18.13,0.00450856627592426,0,0,0,0.00564971751412429,0.00195694716242661,0.00238095238095238,0.00319488817891374,0.00319488817891374,0
ANKRD65,0.00631199278629396,0,0.00159744408945687,0.00350262697022767,0.00941619585687382,0.00195694716242661,0.00238095238095238,0,0.012779552715655,0.0128205128205128
VWA1,0.177637511271416,0.0759345794392523,0.0686900958466454,0.245183887915937,0.293785310734463,0.103718199608611,0.3,0.10223642172524,0.146964856230032,0.102564102564103
ATAD3C,0.024346257889991,0.00467289719626168,0,0.00875656742556918,0.0282485875706215,0.0156555772994129,0.00238095238095238,0.00319488817891374,0.0191693290734824,0
ATAD3B,0.0613165013525699,0.0315420560747664,0.118210862619808,0.0823117338003503,0.0263653483992467,0.0293542074363992,0.19047619047619,0.0447284345047923,0.146964856230032,0.0512820512820513
ATAD3A,0.0270513976555455,0.0607476635514019,0.180511182108626,0.0630472854640981,0.0244821092278719,0.0704500978473581,0.107142857142857,0.0798722044728434,0.124600638977636,0.153846153846154
TMEM240,0.00270513976555455,0,0,0,0,0,0,0,0.00319488817891374,0.0128205128205128
