,p_val,avg_logFC,pct.1,pct.2,p_val_adj
NEAT1,1.40709896087002e-253,-1.2917941729063,0.982,0.988,3.44795529371589e-249
XIST,1.55716593179389e-241,1.23858921558349,0.882,0.258,3.81567939926774e-237
SPP1,2.58744413662693e-239,-1.70469358179679,0.092,0.55,6.34027311239064e-235
VCL,1.01540493467494e-231,2.10886012661253,0.816,0.272,2.48814825192746e-227
TRPV5,7.12159779205641e-227,-1.52088454337833,0.016,0.366,1.7450763229655e-222
RUNX1,5.00783205023867e-226,1.76952521702144,0.722,0.109,1.22711916559048e-221
GLS,1.31400047261699e-206,1.1628265461732,0.938,0.68,3.21982675810066e-202
ACTG1,2.25385827765373e-203,1.52606039941771,0.662,0.077,5.5228543235627e-199
LINC01099,2.43129387439434e-189,-1.57427859035091,0.181,0.599,5.95764250981588e-185
MSC-AS1,4.66207225491125e-188,1.43168756912028,0.62,0.058,1.14239418534345e-183
SCIN,1.81799976558963e-182,1.4942699418195,0.803,0.317,4.45482662560084e-178
IMMP2L,2.28351119990151e-166,0.758914546079798,0.964,0.766,5.59551584423867e-162
WSB1,8.41162338843338e-164,0.833024646498687,0.932,0.758,2.06118419510172e-159
SGCD,1.60812381709802e-158,1.6304519892897,0.607,0.108,3.940546601417e-154
SCN3A,1.57100466694032e-155,1.01970063553098,0.875,0.519,3.84958983587056e-151
MACC1,4.71834290489491e-148,1.01368789775453,0.83,0.364,1.15618274541545e-143
ACTB,1.33589949910595e-146,0.963256816969366,0.703,0.194,3.27348813260921e-142
LRP2,2.39320647963808e-146,-0.896482117290048,0.016,0.259,5.86431315770515e-142
UTY,9.42861329628078e-146,-0.958034188615827,0.052,0.356,2.31038740212064e-141
LTBP1,3.43225847055628e-143,1.4158969527921,0.543,0.07,8.41040615625111e-139
MALAT1,3.53540825596142e-142,-0.348609628625945,1,1,8.66316439040786e-138
TOX,2.59897747705494e-139,0.988759668994425,0.749,0.248,6.36853440977542e-135
TPM4,8.06337949078263e-136,1.13261396321576,0.627,0.155,1.97585051042138e-131
FERMT2,8.29023172757408e-135,1.18115360136433,0.718,0.283,2.03143838252475e-130
PRKCA,3.01880338467332e-131,0.685001514858507,0.937,0.612,7.39727581380349e-127
EYA3,3.99918650140846e-129,0.905252779008441,0.855,0.55,9.79960660305129e-125
DSCAML1,4.6487965278641e-129,-1.27127159755362,0.045,0.316,1.13914110118782e-124
HIST1H2BD,3.4123474952389e-125,-1.6582958239827,0.022,0.25,8.36161630233339e-121
KRT19,8.06841398678573e-125,1.05487833151099,0.699,0.254,1.97708416332198e-120
ADGRL2,2.2434864312252e-123,0.917442456719216,0.711,0.271,5.49743915107423e-119
NR4A1,3.7266539745579e-123,1.34764050709284,0.536,0.104,9.13179289925668e-119
RCAN1,6.6621742068617e-122,1.30001834668609,0.507,0.082,1.63249916764939e-117
PICALM,6.90038338341621e-122,0.994468291440948,0.83,0.444,1.69086994427231e-117
