,p_val,avg_logFC,pct.1,pct.2,p_val_adj
XIST,1.56254173087311e-107,1.24639533065041,0.914,0.295,3.82885225733146e-103
ACTG1,4.63049707732768e-104,1.28817331637791,0.785,0.126,1.13465700382838e-99
FP671120.1,5.85109471023419e-101,-2.12810025509667,0.476,0.86,1.43375224779579e-96
VCL,1.35724492774245e-91,1.62144651478777,0.873,0.349,3.3257929709401e-87
TXNIP,1.04722891490436e-83,1.16434789820312,0.825,0.251,2.56612973308165e-79
BHLHE40,1.12625935006448e-78,1.11352068245245,0.791,0.229,2.75978591139799e-74
CACNB2,1.25551949962282e-77,-1.34911666159236,0.319,0.821,3.07652498187575e-73
TUFT1,2.70826190301073e-77,1.20568134976352,0.578,0.069,6.6363249671375e-73
SLC26A7,1.13990884715555e-72,1.08239994238336,0.971,0.91,2.79323263906995e-68
CAB39,3.46318115038627e-69,1.08092293294406,0.858,0.427,8.48617909090652e-65
TSIX,4.07986274785714e-69,0.737632670093329,0.468,0.023,9.99729567734914e-65
SCN3A,1.91544032006946e-68,1.11375438936014,0.795,0.29,4.69359496029819e-64
BTG2,3.50818144149139e-66,1.05995596498984,0.618,0.12,8.59644780423051e-62
RCAN2,2.60117220223487e-65,0.748075728246442,0.971,0.766,6.37391236435632e-61
VAV3,2.04563046933876e-64,1.12936024013596,0.848,0.34,5.01261290206769e-60
ZBTB20-AS5,9.45801218626768e-64,0.861972040728537,0.754,0.234,2.31759130612303e-59
ACTB,2.64953517320135e-63,0.842159425600695,0.706,0.178,6.49242098841259e-59
AC007040.2,3.29071080007543e-61,0.734273123666584,0.649,0.139,8.06355774450483e-57
SLIT2,6.36600009741214e-60,0.785179258183171,0.977,0.871,1.55992466386987e-55
AL157938.2,3.24218860363896e-59,0.895364034468716,0.532,0.086,7.9446589543569e-55
FOXI1,3.54784976178594e-59,0.713912949994519,0.501,0.061,8.69365105628026e-55
ARRDC4,2.02158283197342e-57,1.06499214290503,0.443,0.045,4.95368657146767e-53
NR4A1,2.67927509598979e-55,0.895950636714368,0.77,0.296,6.56529569521337e-51
PRKG1,6.10209840295624e-54,0.663488640822381,0.946,0.777,1.4952581926604e-49
GBP2,3.21463758160556e-52,0.764232630535789,0.463,0.066,7.87714792996627e-48
ZFP36,3.75000794314802e-52,0.844959405295528,0.459,0.066,9.1890194638899e-48
LINC00457,1.15562943501548e-51,0.62737251964536,0.48,0.07,2.83175436756192e-47
GRIP1,1.35173813224883e-51,0.838873506920975,0.919,0.626,3.31229911926252e-47
AC015923.1,3.29241449388833e-51,0.61566437056989,0.478,0.072,8.06773247582396e-47
AC090579.1,1.15529253017896e-50,0.825421370788566,0.697,0.242,2.83092881595053e-46
FAM153A,1.16932982445623e-50,0.506560235777777,0.537,0.095,2.86532580184754e-46
ANXA3,1.9329834955678e-50,0.626944504930928,0.434,0.053,4.73658275753934e-46
ZBTB20-AS2,3.78816694346232e-50,0.547058656981339,0.43,0.048,9.28252427826007e-46
MYO1E,4.69082668930979e-50,0.986651720979437,0.816,0.356,1.14944017194847e-45
RTN4,8.36446215560468e-50,0.814493669123434,0.883,0.432,2.04962780660937e-45
ZBTB20,1.08294764548763e-49,0.454710067808827,0.994,0.972,2.6536549105029e-45
AQP6,1.36802702319441e-49,0.892367469206681,0.764,0.339,3.35221341763559e-45
CD200,2.10281891576778e-49,0.552461027800869,0.486,0.08,5.15274747119736e-45
TMEM117,4.4276655308409e-49,0.56108701891625,0.962,0.819,1.08495516167725e-44
LINC01876,8.23113291824875e-49,0.837458287123837,0.589,0.162,2.01695681028767e-44
MAGI1-AS1,1.3816171481678e-48,0.656071982863305,0.752,0.281,3.38551465987038e-44
CCDC198,1.60053217975683e-48,0.678368594560762,0.8,0.339,3.92194405327613e-44
PDE5A,3.81985929329766e-48,0.609826182710066,0.528,0.105,9.36018321229658e-44
TSC22D2,7.59979984654982e-48,0.678932477645051,0.787,0.304,1.86225495439857e-43
AC013652.1,2.22122880598527e-47,0.829787812525944,0.595,0.165,5.4428990661863e-43
RYBP,2.6092855655571e-47,0.586934876883081,0.541,0.119,6.39379334984112e-43
AC023194.3,7.90146848280612e-47,0.792137264558223,0.873,0.48,1.93617583702681e-42
AC002429.2,1.14044533585524e-46,0.550259259311402,0.428,0.058,2.79454725097968e-42
TCIM,7.44923995166523e-46,0.813258188619896,0.39,0.048,1.82536175775605e-41
AC008438.1,2.44402760630833e-45,0.623582315738274,0.547,0.129,5.98884524649793e-41
GRB14,1.01504805620529e-44,0.649461041005582,0.914,0.624,2.48727375692544e-40
MIR181A2HG,1.06794462690181e-44,0.492970687407694,0.386,0.042,2.6168915137602e-40
SPP1,5.74122774428613e-44,-1.25559177139291,0.05,0.41,1.40683044645987e-39
AC009554.1,6.77466754815576e-44,0.469717624272953,0.409,0.055,1.66006453600009e-39
ITGB6,7.62670979523e-44,0.721137334910108,0.382,0.045,1.86884896822316e-39
PAX8,1.18276319644203e-43,-0.725274198909279,0.912,0.903,2.89824293656154e-39
RASD1,1.42972208571658e-43,0.634725597280037,0.459,0.084,3.50339099883992e-39
RHCG,2.22289857124902e-43,0.677153630621596,0.555,0.14,5.44699065898859e-39
NEBL,2.3364293231248e-43,0.645252124044364,0.756,0.293,5.72518641338502e-39
LGALS3,2.50348872408838e-43,0.623292148863574,0.553,0.136,6.13454876950617e-39
CGNL1,2.53603422142992e-43,-0.817099554049528,0.875,0.885,6.21429825619187e-39
ABCC9,2.89497546757004e-43,0.817856222248706,0.359,0.039,7.09384788573362e-39
UTY,5.10669270095322e-43,-1.13150398849427,0.052,0.418,1.25134397944158e-38
