,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PROM1,3.07739886498965e-11,1.3426019717627,0.533,0.026,7.54085817877065e-07
SCIN,1.22257075050303e-10,1.75653606380288,0.6,0.052,2.99578736703264e-06
IGKC,3.44745485100777e-10,0.763219554107594,0.333,0,8.44764336690944e-06
RUNX1,3.59108568977248e-09,1.33166400517947,0.667,0.087,8.79959637421849e-05
KRT19,7.37509025772674e-09,1.09297545379892,0.4,0.017,0.000180719211675336
LRRIQ1,1.9520109246182e-08,0.798700927815592,0.467,0.035,0.000478320756968443
AC003681.1,2.26739250923029e-08,0.354866884710211,0.267,0,0.00055560186046179
CNTN5,1.06297240650394e-07,1.14677550664526,0.4,0.026,0.00260470758489726
LGALS3,1.17816145466347e-07,0.74518689773316,0.467,0.043,0.00288696682850738
EPCAM,1.27435153829014e-07,0.645164727622487,0.4,0.026,0.00312267100942616
ITGB3BP,1.83934930402696e-07,0.593550205309055,0.533,0.061,0.00450714153458767
CGNL1,2.8081860056237e-07,-1.83312115078839,0.4,0.904,0.00688117898818032
THBS1,3.00338253337095e-07,1.17825339776099,0.333,0.017,0.00735948855977218
CXADR,3.00338253337095e-07,0.677388209906686,0.333,0.017,0.00735948855977218
AKAP12,3.82560066937161e-07,1.56759760389754,0.8,0.209,0.00937425188022819
LAMA2,4.90262704686898e-07,0.609145397036832,0.333,0.017,0.0120133973156478
ANXA1,7.22146132531204e-07,0.868751744828266,0.467,0.052,0.0176954688315446
MEST,1.07493896212553e-06,1.14807667566376,0.267,0.009,0.0263403043279239
AC025259.3,1.07493896212553e-06,0.587115325335462,0.267,0.009,0.0263403043279239
OMG,1.07493896212553e-06,0.508129875425423,0.267,0.009,0.0263403043279239
SDR39U1,1.07493896212553e-06,0.506975897642957,0.267,0.009,0.0263403043279239
AC026347.1,1.07493896212553e-06,0.418413536797935,0.267,0.009,0.0263403043279239
AC018682.1,1.34048520333558e-06,0.487998076341093,0.267,0.009,0.032847249422535
POLB,1.34048520333558e-06,0.455133704729929,0.267,0.009,0.032847249422535
SLC38A1,1.42711729124602e-06,0.699941425749269,0.467,0.061,0.0349700821046926
AC008781.2,1.44245350486535e-06,0.511909309449648,0.2,0,0.0353458806832206
TMA16,1.44245350486535e-06,0.333419265780821,0.2,0,0.0353458806832206
ARL4C,1.44245350486535e-06,0.326931467660731,0.2,0,0.0353458806832206
POF1B,1.44245350486535e-06,0.326824983058547,0.2,0,0.0353458806832206
AC079336.4,1.44245350486535e-06,0.2815448206202,0.2,0,0.0353458806832206
SIDT1,1.44245350486535e-06,0.277957586327012,0.2,0,0.0353458806832206
NAPA-AS1,1.44245350486535e-06,0.259757996762608,0.2,0,0.0353458806832206
AC008686.1,1.44245350486535e-06,0.256193985877126,0.2,0,0.0353458806832206
