,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LRP2,3.45312383242715e-121,-1.76065492559694,0.24,0.851,8.46153463897949e-117
CNTNAP3B,8.27942208083337e-117,-1.60588570756638,0.237,0.835,2.02878958668741e-112
SLC13A3,2.34003238105489e-108,-1.94470410951477,0.03,0.557,5.73401534653691e-104
SPP1,1.11333362838443e-100,-1.72236667360392,0.157,0.715,2.72811272299321e-96
RFX2,2.43822851102757e-100,2.06587439971832,0.774,0.169,5.97463514342196e-96
NOX4,2.68480021638941e-97,-1.72337454897271,0.084,0.608,6.5788344502406e-93
CGNL1,5.01211978319027e-94,-1.61101644882481,0.101,0.628,1.22816983167294e-89
DCC,9.46553762276797e-93,-2.33126519971184,0.053,0.537,2.31943533908306e-88
TGFBR2,1.68456122457765e-90,2.24325879540975,0.703,0.131,4.12784882470508e-86
CLDN10,4.73136820381363e-90,-1.62407643760802,0.146,0.668,1.15937446466249e-85
FTCD,4.81917959676162e-87,-1.71211318615589,0.051,0.521,1.18089176839047e-82
LINC00871,2.32481789837707e-82,-1.44921994835931,0.01,0.414,5.69673377818318e-78
SGMS2,3.70108102192837e-82,2.13179422658142,0.675,0.145,9.06912893613327e-78
SLC28A1,1.76702620490012e-81,-1.47513279169178,0.11,0.59,4.32992101248724e-77
CDH6,1.06434137071164e-79,-1.30303868758131,0.219,0.742,2.6080620947918e-75
HIST1H2BD,1.10128958767446e-79,-1.91642001865304,0.024,0.434,2.6986000056375e-75
SYNDIG1,1.39471128192384e-78,-1.39873344588807,0.036,0.459,3.41760052522619e-74
MAST4,2.26258631030398e-77,-1.24020110931388,0.284,0.777,5.54424149476887e-73
CAMK1D,4.17103290516887e-73,2.09931215267679,0.59,0.073,1.02206990308258e-68
FOXP2,4.44170560170005e-70,1.31623697673973,0.787,0.327,1.08839554064058e-65
RALYL,5.80769274828176e-69,-1.34983420019367,0.034,0.414,1.42311703103896e-64
SAMD5,8.13552646631653e-69,-1.25499741579832,0.121,0.559,1.9935294053062e-64
GPC6,7.51098648219708e-66,-1.02668863529678,0.292,0.782,1.84049212759757e-61
ANPEP,3.90559485156847e-64,-1.38657453053044,0.096,0.503,9.57026962428338e-60
ARHGEF10L,1.0706958494674e-63,-1.31462376227497,0.163,0.586,2.62363310953491e-59
SLC47A2,1.2668395141655e-63,-1.28062513690671,0.041,0.408,3.10426354551113e-59
MET,1.10148510210875e-62,1.19533782290737,0.793,0.428,2.69907909420727e-58
ACSM2A,1.52563786258311e-62,-1.02366503964861,0.246,0.737,3.73842301847366e-58
NR4A1,1.17905076425014e-61,1.79830552700053,0.486,0.029,2.88914599271854e-57
SYNE1,1.71479952197511e-61,1.29983428488961,0.819,0.483,4.2019447486478e-57
BNC2,3.71476499478913e-60,-0.921895944664713,0.446,0.837,9.10266014323128e-56
PRKX,4.77967468236351e-60,1.60988502949,0.574,0.122,1.17121148416636e-55
EMP1,1.05671772798461e-59,2.01319926665252,0.454,0.009,2.58938112065349e-55
LINC00278,1.95537967942696e-59,-1.19515137636704,0.014,0.327,4.79146236646782e-55
GDA,5.48848075473741e-59,-1.232913696478,0.183,0.615,1.34489732414086e-54
EDIL3,6.54857269417837e-58,1.55157934907411,0.484,0.038,1.60466225298147e-53
TTTY14,1.42067997465401e-57,-1.12433791235143,0.032,0.363,3.48123420989218e-53
AC096577.1,6.01214190340911e-55,-1.29730365996383,0.03,0.347,1.47321525201137e-50
GCNT2,1.66666494909886e-54,-1.1969901967403,0.108,0.488,4.08399579127185e-50
ACSM2B,3.07358582748284e-54,-1.29176237142339,0.14,0.53,7.53151471166395e-50
HPN,5.29583959176147e-54,-1.14217716096972,0.222,0.619,1.29769253356523e-49
WDR72,1.33454506486792e-53,-1.02381731223777,0.184,0.595,3.27016922695235e-49
PLEKHA5,4.76924568566933e-53,-0.965862840962435,0.45,0.808,1.16865596281641e-48
KCNQ1OT1,7.59638013302212e-53,-1.2257763857769,0.299,0.677,1.86141698779574e-48
MACC1,1.05420213706228e-52,1.00702895178354,0.856,0.55,2.5832169166574e-48
SLC47A1,2.55133176024656e-52,-1.02472066717562,0.093,0.463,6.25178334530817e-48
AL033504.1,3.16356918721141e-52,-1.04121517192429,0.103,0.472,7.75200993634285e-48
AL391117.1,3.26256306318494e-52,-1.15191558465892,0.036,0.345,7.99458453002837e-48
RP1,1.93254878541463e-51,2.15095421982822,0.41,0.016,4.73551754378002e-47
UTY,1.97244479981001e-51,-0.845593407623302,0.024,0.323,4.83327873745445e-47
LAMA3,4.57036942237668e-51,2.36236346388085,0.489,0.087,1.11992332325918e-46
EZR,1.0059678957279e-50,1.3854412277694,0.707,0.361,2.46502373169165e-46
AC007952.4,2.87882517858771e-49,-1.0527815629934,0.032,0.327,7.05427321761133e-45
LSAMP,5.30237128646221e-49,-1.55568183104257,0.104,0.454,1.2992930600347e-44
DOK6,4.7471930940486e-48,-0.979164041930171,0.05,0.361,1.16325219576567e-43
MYO10,6.05555165940536e-48,1.35942667219825,0.537,0.136,1.48385237862069e-43
GLIS1,6.50609321887215e-48,-0.953890116566872,0.116,0.474,1.59425308235243e-43
SLC34A1,1.05467867738583e-47,-1.19741474510481,0.001,0.236,2.58438463106623e-43
FAM20C,2.47735600018382e-47,-1.08108607101709,0.087,0.43,6.07051314285044e-43
NEDD9,2.66982279292725e-47,1.2922091025915,0.644,0.278,6.54213377178893e-43
NRP1,4.5373904564884e-47,-0.863390378752964,0.455,0.833,1.11184215745792e-42
AC087762.1,7.56938304005734e-47,-1.10771792588189,0.054,0.363,1.85480162013565e-42
P3H2,1.66009160411607e-46,1.68278993314987,0.661,0.336,4.06788846672602e-42
SIK2,1.74272776157606e-46,1.16674453855024,0.789,0.55,4.27038010696599e-42
SLC5A2,2.34886718999388e-45,-0.861432337703487,0.005,0.236,5.75566416236099e-41
FP671120.1,2.7403604209212e-45,-1.32506200922443,0.428,0.755,6.7149791754253e-41
PFKP,3.73535237436667e-45,1.26193344972567,0.497,0.107,9.1531074581481e-41
ST3GAL1,2.71925069141025e-44,-0.943106539750688,0.079,0.396,6.66325189423167e-40
EPB41L3,8.22925074114333e-44,-0.868597092409906,0.084,0.408,2.01649560160976e-39
RIPOR2,1.14436330244768e-43,1.43871787477424,0.502,0.127,2.80414783631779e-39
TINAG,3.31040281066389e-43,-0.990578411045198,0.125,0.463,8.1118110472508e-39
ESYT2,5.69849197381926e-43,1.25220376307408,0.641,0.325,1.39635847326467e-38
CARHSP1,1.61307057684334e-42,-0.853196035740047,0.053,0.339,3.95266814149691e-38
HRH1,1.31292063189777e-41,1.47674620367807,0.584,0.232,3.21718071640231e-37
LINC01060,1.98402255296932e-41,-0.893935481607653,0.026,0.278,4.86164886379602e-37
PLPP3,4.95638854284118e-41,-0.871333207637675,0.072,0.372,1.2145134485378e-36
AP002989.1,1.12698337808529e-40,2.13033476216234,0.328,0.004,2.76156006966019e-36
DPYS,1.7762253067582e-40,-0.844456634239224,0.072,0.363,4.35246249168028e-36
RBBP8,1.88787109628631e-40,1.27796417484059,0.593,0.269,4.62603933433998e-36
USP9Y,3.63748151622938e-40,-0.707128421466627,0.014,0.241,8.91328470736847e-36
TRABD2B,4.2746070204063e-40,-0.765060632250818,0.52,0.826,1.04744970428036e-35
MSRA,8.71582025022967e-40,-0.923104436574535,0.146,0.477,2.13572459411628e-35
MYO1D,9.1104598546586e-40,1.04088559612275,0.622,0.29,2.23242708278554e-35
ITGA6,4.24216796184044e-39,-0.827028538900321,0.107,0.421,1.03950083736938e-34
AC096564.1,5.26190255228484e-39,1.42157013463109,0.364,0.038,1.28937660141188e-34
CYB5A,6.35773310735594e-39,-0.768150083022598,0.053,0.321,1.5578989206265e-34
HSPA5,4.03355098964378e-38,-0.788833345177003,0.028,0.265,9.88381334502313e-34
RIPOR3,4.77225416732494e-38,-1.03813652624777,0.072,0.352,1.1693931611613e-33
PAPPA,5.23039009402081e-38,-1.02269692932482,0.181,0.499,1.28165478863886e-33
XIST,9.72644995638943e-38,0.768965867220027,0.668,0.254,2.38336929731367e-33
ANXA1,3.24781119093859e-37,1.44577334964344,0.382,0.053,7.95843654227593e-33
NKAIN4,3.30983237931226e-37,-0.809678549269148,0.019,0.236,8.11041326226677e-33
CHL1,3.90870279492742e-37,1.21657773021453,0.436,0.105,9.57788532869014e-33
AC005699.1,4.68419312518356e-37,-0.930291545482102,0.163,0.49,1.14781468339498e-32
LINGO1,7.42171460805778e-37,-0.780238418245927,0.196,0.537,1.81861694755848e-32
VCL,1.74803558400702e-36,1.10639818009527,0.562,0.227,4.2833863950508e-32
LINC02471,1.86250316583632e-36,1.13682290825448,0.529,0.209,4.56387775756531e-32
BHMT,3.65177766247688e-36,-0.876915691255415,0.051,0.303,8.94831598413335e-32
SKAP1,5.59978480861474e-36,1.1114842823493,0.387,0.062,1.37217126950296e-31
ENPEP,5.87930288887353e-36,-1.04708953692189,0.168,0.479,1.44066437988957e-31
AL353759.1,2.19060150726695e-35,-0.684017590953684,0,0.174,5.36784993340692e-31
AL589669.1,2.26203938396445e-35,-0.860175747543046,0.23,0.57,5.54290130646648e-31
EPB41,4.02953884426859e-35,-0.809834595779689,0.22,0.55,9.87398198399575e-31
CAST,7.3246524484332e-35,0.981364762101554,0.634,0.359,1.79483283596407e-30
CUBN,1.04038869313742e-34,-1.02378589128965,0.157,0.461,2.54936845366393e-30
TACC2,1.04791169102358e-34,1.27388369039552,0.492,0.178,2.56780280768418e-30
NCKAP5,1.08688722986682e-34,-0.813440852154738,0.242,0.586,2.66330846806565e-30
DDX3Y,1.66859849589047e-34,-0.557275757321682,0.005,0.185,4.08873375433001e-30
JUN,2.00001615399438e-34,-0.884261291799366,0.178,0.492,4.90083958374783e-30
MEG3,2.60069441548088e-34,-0.867174866715103,0.014,0.209,6.37274159569435e-30
NEAT1,3.82222221402796e-34,-0.581312347474283,0.986,0.987,9.36597331325412e-30
ABLIM3,3.86626359706896e-34,-0.766757229006974,0.056,0.303,9.47389231825779e-30
SH3RF1,5.07343812483876e-34,1.29682701689841,0.649,0.414,1.24319527811049e-29
LRMDA,5.09984600550411e-34,-0.556675122579067,0.758,0.915,1.24966626518873e-29
FGFR2,5.16750818488527e-34,-0.926677914624414,0.085,0.35,1.26624620562429e-29
GALNT17,5.51403277297351e-34,1.7010549374019,0.321,0.031,1.35115859068943e-29
ABCC6,5.84657503337177e-34,-0.785894847341959,0.044,0.278,1.43264474617742e-29
ARHGEF3,7.95895310356372e-34,-0.86539524983197,0.314,0.621,1.95026186849725e-29
SLC4A4,1.13595727731497e-33,-0.94295885779394,0.145,0.439,2.7835497123326e-29
NPL,1.1476839749968e-33,-0.643755732183429,0.006,0.185,2.81228481233215e-29
CMYA5,1.1941581356089e-33,-0.786219848549958,0.068,0.327,2.92616509549606e-29
VMP1,1.69115591158997e-33,0.697151881927384,0.801,0.635,4.14400844576007e-29
ANXA2,1.87918970907887e-33,1.10908645535765,0.463,0.149,4.60476646312687e-29
RASSF4,1.91013718620429e-33,-1.00204042086495,0.189,0.49,4.68060016107498e-29
PPP2R3A,3.04938808736965e-33,-0.608880253539684,0.564,0.851,7.47222056929059e-29
CACNA1D,3.06578097286513e-33,-0.876178171462972,0.272,0.581,7.51238969590872e-29
DPEP1,4.52913928916824e-33,-0.636243468369163,0.012,0.198,1.10982029141779e-28
PPP4R1,1.25202317377074e-32,1.07194408034701,0.532,0.243,3.06795758500783e-28
ALPK2,1.96539746647698e-32,-0.825344621695577,0.169,0.477,4.8160099518552e-28
LMNA,1.99466761340402e-32,0.943420752920321,0.65,0.354,4.88773351988522e-28
