,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SLC13A3,7.03086096998954e-161,-3.28021328764844,0.002,0.827,1.72284217208624e-156
LRP2,5.26202857316658e-152,-2.19643321191753,0.131,0.903,1.28940748156874e-147
NEAT1,7.92011617758556e-127,-1.0814317727361,0.851,0.993,1.94074526815557e-122
SPP1,1.61059972837826e-125,-2.360839508699,0.073,0.769,3.94661357441809e-121
RFX2,8.6737525549056e-120,2.22891122818735,0.478,0.024,2.12541632605407e-115
CGNL1,1.05331982984515e-118,-2.37730919605047,0.047,0.732,2.58105491105256e-114
FP671120.1,6.30232145215386e-118,-2.36711469866364,0.302,0.872,1.54432084863578e-113
RASSF4,5.92588784384196e-110,-2.40561629163142,0.052,0.703,1.45207955725503e-105
SYNE2,6.58933276985633e-108,-1.15818149200309,0.644,0.955,1.6146501019256e-103
SLC34A1,4.43114607704371e-103,-3.04837803479266,0.002,0.624,1.08580803471879e-98
CNTNAP3B,1.47772424016154e-100,-2.16001042296135,0.047,0.668,3.62101547809184e-96
CUBN,4.70463548585716e-100,-1.74028581172743,0.125,0.753,1.15282387945444e-95
CAMK1D,9.41391345592795e-97,2.06520591148983,0.386,0.015,2.30678535324059e-92
PPP2R3A,2.89274667038085e-95,-1.51128558827239,0.246,0.806,7.08838644110123e-91
MACC1,8.41397430129807e-95,1.78606775415771,0.522,0.079,2.06176026279008e-90
TGFBR2,4.29609752182017e-94,1.98162219892583,0.433,0.036,1.05271573674681e-89
HRH1,4.19795174761957e-92,2.17849075444498,0.336,0.004,1.0286660962367e-87
LAMA3,1.93969971103152e-91,2.49539292174753,0.343,0.007,4.75304017191163e-87
SGMS2,1.85040703068696e-90,1.99606742208292,0.407,0.031,4.53423738799533e-86
NOX4,1.84579911937517e-82,-2.20119641108798,0.026,0.567,4.52294616211693e-78
AP002989.1,5.24482294449604e-80,2.07712167686163,0.291,0.003,1.28519141431931e-75
AC096564.1,5.32590551014599e-80,1.89567310893395,0.297,0.004,1.30505988620617e-75
EMP1,7.16582617599463e-77,1.93900929978721,0.278,0.002,1.75591404616572e-72
