,p_val,avg_logFC,pct.1,pct.2,p_val_adj
GPC5,0,-3.01105526979574,0.081,0.879,0
UMOD,5.6413074571007e-263,-2.68673472791906,0.013,0.723,1.38234597928796e-258
CGNL1,2.54869554474895e-205,-1.72026391073747,0.287,0.835,6.24532356285283e-201
ESRRG,4.31894145066682e-201,-1.03258986468758,0.804,0.987,1.0583134130714e-196
PLCL1,3.31365172823898e-188,-1.92319859441688,0.144,0.706,8.11977219487678e-184
EZR,2.31735402821042e-177,1.68233662242344,0.731,0.19,5.67844431072681e-173
KCNIP4,2.12339625886446e-176,-1.00259852192476,0.822,0.976,5.20317019272146e-172
ATP1B1,5.94011321992813e-174,-1.54894600347669,0.308,0.778,1.45556534341119e-169
DST,4.30684787130726e-162,1.90855420729001,0.716,0.215,1.05535000238513e-157
MET,4.88630268825961e-155,1.62288654470438,0.693,0.192,1.19733961073114e-150
MACC1,4.04563053441985e-154,1.75362405950768,0.673,0.174,9.91341306154241e-150
KLF6,1.53765572773383e-149,1.44235908576331,0.628,0.12,3.76787159523899e-145
EGF,6.24774383117504e-144,-1.94693521007654,0.025,0.485,1.53094714839113e-139
ANXA2,9.66755142874804e-143,1.46939006392813,0.527,0.059,2.36893680210042e-138
ANXA1,8.17885825624036e-142,1.87987498695979,0.456,0.017,2.00414742710914e-137
SLC12A1,6.33380959308683e-141,-0.969845286778684,0.714,0.953,1.55203670269e-136
RFX2,1.83723051363724e-140,1.58466620150798,0.591,0.11,4.50194965061669e-136
CREB5,1.49758716104209e-139,1.85756419947443,0.519,0.061,3.66968757941755e-135
ESRRB,2.56573438953238e-138,-1.5547199223065,0.055,0.52,6.28707554811015e-134
SGMS2,8.05084363237314e-134,1.61692371884556,0.593,0.13,1.97277872367671e-129
LAMA3,1.65327486051811e-132,2.11293978929632,0.437,0.019,4.05118471821358e-128
VMP1,1.52847520195383e-129,1.30280693362181,0.757,0.368,3.74537563486767e-125
TMPRSS4,1.17618924242097e-121,1.31921907360955,0.588,0.135,2.88213411962834e-117
HS6ST2,1.06881901407499e-120,-1.59417251243523,0.028,0.434,2.61903411208935e-116
AKAP12,3.3456736058551e-118,2.00898852333123,0.396,0.016,8.19823860378734e-114
MSI2,1.99845842599391e-115,-0.919192382368856,0.636,0.859,4.89702252705546e-111
FP671120.1,4.70764856914294e-115,-1.28655866309152,0.446,0.771,1.15356220538279e-110
THSD4,7.73426941379672e-115,-1.53033111838287,0.177,0.586,1.89520537715675e-110
AC096564.1,8.08650514696123e-115,1.63819466164136,0.44,0.046,1.98151722121138e-110
HRH1,8.96992878514227e-115,1.71619346035335,0.381,0.013,2.19799134951126e-110
MYO1D,7.17240030690455e-114,1.06331773664085,0.726,0.3,1.75752497120389e-109
PTGER3,1.34261783909627e-112,-1.52863677147828,0.053,0.449,3.2899507529215e-108
LAMC2,1.39508233329816e-112,2.24630661238774,0.431,0.045,3.41850974951381e-108
ARHGAP6,3.65702621857538e-112,-0.983921856317961,0.563,0.841,8.96117704599711e-108
MAST4,5.45300213374472e-111,-1.2455400181525,0.217,0.635,1.33620364285281e-106
AKAP13,1.93427290471859e-108,1.07796206121134,0.782,0.414,4.73974232572243e-104
WEE1,6.29179376551252e-108,1.25981133905218,0.436,0.051,1.54174114430119e-103
CD44,7.47472176624245e-108,1.54026878350672,0.462,0.073,1.83160582160005e-103
ESYT2,5.29108795888308e-104,1.14790423009595,0.634,0.215,1.29652819344471e-99
LINC00970,1.22536679740701e-103,-1.4474500319289,0.057,0.436,3.00263880036613e-99
SYNE1,5.68011988244785e-103,1.11602723273603,0.783,0.415,1.39185657599502e-98
LMNA,2.64750205433834e-102,1.15911799065885,0.552,0.139,6.48743903395068e-98
GP2,4.54944723716226e-99,-1.34436259533353,0.005,0.335,1.11479655099424e-94
CACNA2D3,7.78543568474364e-99,-0.93228921478962,0.568,0.82,1.90774316018958e-94
EMP1,1.9538161980633e-97,1.37946348093193,0.437,0.072,4.7876312117343e-93
PSD3,1.96156279110206e-97,1.21272775924775,0.406,0.047,4.80661346331649e-93
PDE1A,3.99223789461326e-97,-1.18142872556059,0.205,0.598,9.78257973696034e-93
VCL,4.41492599928751e-97,1.18311133325883,0.634,0.237,1.08183346686541e-92
AC092078.2,8.62412079178351e-97,-1.65132140198833,0.014,0.344,2.11325455881863e-92
PCDH9,1.21091595761323e-96,-1.12235536756933,0.266,0.661,2.96722846253547e-92
MYO1E,5.6412941766577e-96,1.28633803919921,0.682,0.314,1.3823427250482e-91
FHL2,6.61042106512771e-96,1.22649579897632,0.343,0.019,1.61981757779889e-91
DGKH,4.06501360161904e-95,1.10975885684539,0.673,0.285,9.96090932940729e-91
MGAT5,2.97045202418903e-94,-1.37581009847596,0.126,0.489,7.27879564007279e-90
PLEKHA1,2.04967541436751e-93,1.10184968597818,0.588,0.194,5.02252463536614e-89
FOXP2,1.24025873516748e-91,1.2421736595457,0.461,0.091,3.0391300046544e-87
ENOX1,1.41676456119824e-91,-1.03855858175618,0.405,0.74,3.47163988076018e-87
GPRC5A,3.56627003358571e-91,1.48085368782032,0.319,0.013,8.73878809029843e-87
LINC01606,3.09400134783458e-89,-1.09590000238552,0.431,0.719,7.58154090273386e-85
ELF3,9.76774116903597e-89,1.26131131734901,0.529,0.154,2.39348729606057e-84
ETS1,2.26222611498316e-88,1.13775994227101,0.337,0.026,5.54335887215473e-84
PAPPA2,2.31084475241423e-87,1.14558116774611,0.688,0.306,5.66249398131583e-83
ABCC4,3.74765478843878e-87,1.10649431147916,0.451,0.093,9.18325329359039e-83
KNG1,2.91733237082844e-86,-1.28883154793421,0.017,0.32,7.148631241478e-82
PCSK5,1.12046126804147e-85,1.29015634716544,0.375,0.051,2.74557829120882e-81
MCU,2.15815370719504e-85,1.08128642814882,0.547,0.18,5.28833984411073e-81
WWOX,6.09203338395976e-85,-0.728492455489398,0.699,0.892,1.4927918604055e-80
TNIK,1.07629875833591e-82,1.09971055521946,0.393,0.065,2.63736247742631e-78
SFRP1,2.41486325307057e-82,-1.34651190687119,0.016,0.308,5.91738091532412e-78
CACNB2,2.75156423496764e-82,-1.35158738932196,0.075,0.399,6.7424330013647e-78
CD55,1.11422516749971e-81,1.25529202946461,0.347,0.042,2.7302973504413e-77
MYOF,5.69968015879006e-81,1.05832064563731,0.623,0.263,1.39664962610992e-76
SPP1,2.15029017956322e-79,-1.38428606328828,0.23,0.569,5.26907105600171e-75
FNDC3A,2.54613233082797e-79,0.900621598210424,0.682,0.316,6.23904266346086e-75
CAMK1D,6.60764151606656e-79,1.19356948691788,0.316,0.028,1.61913647709695e-74
BHLHE40,1.77737331227512e-78,0.992783371804166,0.503,0.154,4.35527556439895e-74
RNF19A,2.41125027357586e-78,1.09048368124274,0.548,0.196,5.90852767037029e-74
EFHD1,2.73885729460942e-78,-1.12035642866197,0.186,0.53,6.71129591471092e-74
UGT2B7,4.01079499442171e-78,1.3516317247382,0.393,0.076,9.82805205433096e-74
ATP6V0A4,2.02239025687202e-77,-1.18331460824769,0.141,0.47,4.9556650854392e-73
PPP4R1,5.53858592556754e-77,0.965542583146027,0.488,0.143,1.35717509520107e-72
LRP1B,5.76062959214609e-77,-0.954005548504429,0.279,0.622,1.41158467525948e-72
CAPN8,2.5165104966115e-75,0.978707446651461,0.266,0.009,6.16645732089682e-71
SAMD4A,6.67090003548824e-75,1.09684837423844,0.676,0.342,1.63463734469604e-70
RETREG1,6.71184851802777e-75,1.0439726029581,0.408,0.09,1.64467136085752e-70
ACTN4,1.11734883438864e-73,0.890784543717126,0.652,0.318,2.73795158378591e-69
CLDN16,1.38393290113313e-73,-1.32893041458345,0.068,0.361,3.39118918093662e-69
TM4SF1,2.50311403404393e-73,0.988283794099449,0.263,0.011,6.13363062902126e-69
LINC00513,5.00670152110454e-72,1.13898281987004,0.509,0.174,1.22684214073146e-67
ANXA3,1.01250484361994e-71,0.844192252691039,0.302,0.03,2.48104186880629e-67
CA12,9.35616480156431e-71,-0.798699499805825,0.332,0.668,2.29263462297532e-66
RALYL,1.35577154159925e-70,-0.993546248184446,0.123,0.448,3.32218258553481e-66
LRRFIP1,4.25504509376046e-70,0.827641326184418,0.733,0.427,1.04265624977506e-65
IDH2,1.43917178462639e-68,-1.08549306893953,0.041,0.31,3.52654654104851e-64
HPN,1.48070990482268e-68,-0.996298391232444,0.154,0.466,3.6283315507775e-64
ERBB4,5.63579637841626e-68,0.635710386696378,0.98,0.984,1.38099554456712e-63
TAPT1-AS1,9.62588258920737e-68,-1.00335863277506,0.119,0.421,2.35872626965937e-63
AK3,2.71463352636742e-67,-1.02746591802093,0.208,0.511,6.65193799301072e-63
SGIP1,4.70281221197366e-67,-1.09490178026867,0.088,0.38,1.15237710442203e-62
GCNT2,4.87137459739831e-67,-1.0643392763512,0.205,0.511,1.19368163134648e-62
CABP1,1.36591364817103e-66,-1.2064282914032,0.003,0.235,3.34703480347828e-62
CLCN5,1.55309364607689e-66,-0.796763498556466,0.471,0.724,3.80570067034681e-62
PPM1L,5.27482150507736e-66,-1.1262632969693,0.091,0.38,1.29254226160416e-61
BICDL1,9.76963740710645e-65,-1.03289309227261,0.167,0.474,2.39395195023736e-60
CD9,6.39507700376112e-64,0.803553154750745,0.349,0.067,1.56704966900162e-59
RAPH1,8.81831183784437e-64,0.892101431989502,0.448,0.139,2.16083913274538e-59
ITPR2,9.25301142129429e-64,-0.827786706214349,0.374,0.64,2.26735791867395e-59
CELF2,1.14994179281498e-63,0.891634646801353,0.248,0.016,2.81781736911383e-59
GPI,1.18550261134289e-63,-1.00954404431777,0.096,0.378,2.90495559883461e-59
RHEX,1.60283577132137e-63,1.2742826304148,0.262,0.024,3.92758877404587e-59
CREB3L2,6.12809435802712e-63,-1.04633859177781,0.097,0.371,1.50162824149097e-58
ITPR1,2.37729745849261e-62,-0.836986265242976,0.335,0.613,5.8253296922903e-58
EPB41L3,4.16006397991204e-62,-1.03817014323443,0.06,0.322,1.01938207763765e-57
SMAD3,4.18202612826871e-62,1.01346761463974,0.504,0.192,1.02476368247096e-57
MIR222HG,6.61316503241471e-62,1.1281866674779,0.374,0.094,1.6204899595429e-57
AC011444.2,2.20668533195119e-61,0.817151516214675,0.206,0.002,5.40726173741321e-57
EDIL3,9.3696560182116e-61,1.07372198032448,0.223,0.01,2.29594051070257e-56
TMEM52B,4.8917282059874e-60,-1.4105203833235,0.029,0.265,1.19866907959515e-55
SORBS1,6.77627076575761e-60,-1.11045195823846,0.089,0.357,1.66045738844125e-55
CDCP1,4.83784931158334e-59,0.788757017640742,0.273,0.035,1.18546659531038e-54
NRK,7.46724939488332e-59,-1.00018273372153,0.06,0.315,1.82977479172221e-54
UBC,1.52609186703222e-58,0.82942754461604,0.334,0.069,3.73953551097574e-54
ADAMTS17,2.25667420222394e-58,-1.05457258056121,0.075,0.333,5.52975446512953e-54
RANBP3L,2.73702454097338e-58,-1.00133726513701,0.125,0.408,6.70680493520117e-54
FBXL2,3.413269284654e-58,0.842525612516875,0.463,0.167,8.36387505511615e-54
INPP4B,6.79351247163369e-58,-0.95681835853182,0.232,0.509,1.66468229604912e-53
RTN4,7.34144542063717e-58,0.859202823728549,0.564,0.265,1.79894778587293e-53
PRKD1,1.79489381148585e-57,-0.685574458699634,0.631,0.79,4.39820779566493e-53
TNFRSF12A,2.46167112240862e-57,0.7952500217451,0.321,0.067,6.03207891835009e-53
TGFBR2,3.55766100000063e-57,0.925940942195352,0.494,0.187,8.71769251440156e-53
MPPED2,3.58465637323351e-57,-1.03312615638645,0.047,0.287,8.7838419769714e-53
GABRP,3.9694864368524e-57,0.818483407478468,0.204,0.007,9.72682956486311e-53
AP1S3,1.09035096209346e-56,0.859342107648592,0.53,0.222,2.67179599751381e-52
ITGB1,1.655650127013e-56,0.862037243075174,0.406,0.125,4.05700507123265e-52
PLPPR1,2.7091356798265e-56,-0.97121513186172,0.013,0.224,6.63846606984685e-52
FP236383.1,3.23931694200222e-56,-0.836090801909762,0.433,0.658,7.93762223468224e-52
TSPAN9,3.2479990829044e-56,-0.974927900298091,0.191,0.463,7.95889695274894e-52
FRMD4A,5.67186464481037e-56,-0.98247190462373,0.168,0.438,1.38983371256433e-51
PAX8,5.69844455363472e-56,0.786533598884529,0.849,0.656,1.39634685342265e-51
