,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LRP2,1.46059304774118e-65,-2.34901752233206,0.007,0.654,3.57903720418499e-61
SLC17A1,2.58293854564917e-43,-1.74158467341056,0.002,0.385,6.32923261225872e-39
RASSF4,3.07177134554547e-35,-2.19037822348366,0.004,0.346,7.52706850512463e-31
ANPEP,3.71427550063004e-34,-1.76885144896411,0.002,0.308,9.10146068674384e-30
SLC28A1,4.33061837709378e-34,-1.88549782445513,0.007,0.385,1.06117472712306e-29
AC087762.1,2.95139955737023e-32,-1.87606387425291,0.006,0.346,7.23210947538001e-28
CDH6,3.73007978307475e-32,-1.82376141098204,0.006,0.346,9.14018750044637e-28
SLC13A3,1.34126310043479e-31,-2.44039185507003,0.009,0.385,3.28663110130541e-27
MLXIPL,3.67567530568303e-29,-1.46000350108505,0,0.231,9.0068747690457e-25
HPN,8.39196035963076e-28,-1.56739673159366,0.006,0.308,2.05636596652392e-23
CGNL1,1.66269553501174e-27,-2.13202531647799,0.03,0.5,4.07426913899277e-23
FTCD,5.5602654288632e-25,-1.62761274635951,0.002,0.231,1.36248744068864e-20
PRODH2,1.56678603814358e-24,-1.30179179502758,0,0.192,3.83925250786703e-20
AC096577.1,1.56678603814358e-24,-1.50141935128678,0,0.192,3.83925250786703e-20
PTH2R,3.72728571728452e-24,-2.10391415691866,0.052,0.577,9.13334092163398e-20
KIAA1671,1.95769347071819e-23,-1.41693625869528,0.006,0.269,4.79713208064786e-19
CNTNAP3B,2.58408809854138e-23,-2.17225059910028,0.019,0.385,6.3320494766658e-19
EPS8L2,9.20138095114081e-22,-1.45880123477597,0.011,0.308,2.25470638826755e-17
SLC4A4,9.20138095114081e-22,-2.02273702882016,0.011,0.308,2.25470638826755e-17
ADAMTS9-AS1,3.22325451731894e-21,-1.63582153078747,0.007,0.269,7.89826286923833e-17
SMIM2-AS1,2.30944544035489e-20,-1.08711293009191,0.002,0.192,5.65906510704561e-16
SLC47A2,2.30944544035489e-20,-1.49568652524584,0.002,0.192,5.65906510704561e-16
PTH1R,3.95418928244312e-20,-1.44868587044423,0.013,0.308,9.68934541769863e-16
SYNDIG1,6.56208039660501e-20,-1.21797403220398,0,0.154,1.60797218038409e-15
PRDM16,6.56208039660501e-20,-1.23805888705512,0,0.154,1.60797218038409e-15
