,p_val,avg_logFC,pct.1,pct.2,p_val_adj
AC008438.1,1.48270396978947e-47,1.80001535640233,0.914,0.25,3.63321780757212e-43
AC023194.3,2.99320458200645e-42,1.81597787727157,0.889,0.23,7.33454850774861e-38
AF233439.1,6.4840080957894e-34,2.94986072589631,0.698,0.101,1.58884134379223e-29
ZBTB20-AS5,2.22499439489782e-33,1.46776008899432,0.768,0.155,5.45212626525762e-29
AC007040.2,1.27382785090306e-31,1.29434760689402,0.788,0.176,3.12138776585285e-27
XIST,2.59875489190143e-30,0.979333227882616,0.937,0.372,6.36798898711526e-26
WDR72,6.51978588423701e-29,0.978234933156993,0.967,0.743,1.59760833307344e-24
LGALS3,9.37294392094057e-27,1.5262206817116,0.557,0.027,2.29674617838728e-22
ATP6V0D2,1.91259300574762e-26,1.01533177757574,0.98,0.743,4.68661790128396e-22
UTY,1.60668870409116e-25,-1.24991746328828,0.008,0.284,3.93703000050498e-21
SPP1,2.40650543892228e-25,-1.428696672339,0.03,0.345,5.89690092753515e-21
GALNT17,4.48127903327119e-23,1.46928740695274,0.564,0.074,1.09809261431277e-18
ZBTB20,5.01506433696863e-23,0.600569200004089,0.987,0.973,1.22889136513079e-18
BHLHE40,9.71345584263479e-22,1.16357761354335,0.61,0.122,2.38018521967923e-17
USP3-AS1,1.19486004162099e-21,1.10805377357957,0.562,0.081,2.92788504598807e-17
LRP2,2.3426615543609e-21,-1.17891725640636,0.028,0.297,5.74045787280595e-17
RCAN2,5.91642177058823e-21,0.68188943915578,0.967,0.73,1.44975999066494e-16
IQGAP2,7.41282962493198e-21,0.673249381198478,0.927,0.581,1.81643977129333e-16
LINC01187,7.60032738730057e-21,0.764175530153132,0.932,0.581,1.86238422298413e-16
ADAMTSL3,8.88928556973837e-20,0.88469075024625,0.919,0.595,2.17823053600869e-15
AL157938.2,1.1091385677049e-19,1.00805598040835,0.486,0.047,2.71783314630408e-15
LINC00513,1.16940407412353e-19,0.89783956892032,0.7,0.196,2.86550774323229e-15
AC090502.1,2.77830280541944e-19,1.66344987493005,0.423,0.014,6.80795319439978e-15
SLC35F3,3.21328526410977e-19,0.906986401524376,0.929,0.561,7.87383421117457e-15
ZBTB20-AS2,8.37239161248023e-19,0.936177082701143,0.456,0.034,2.05157084072215e-14
