,p_val,avg_logFC,pct.1,pct.2,p_val_adj
AGXT2,7.64672213103448e-26,-1.49778056722218,0,0.5,1.87375279098869e-21
AC027117.2,7.64672213103448e-26,-1.62834704046151,0,0.5,1.87375279098869e-21
NPIPB2,7.64672213103448e-26,-1.62834704046151,0,0.5,1.87375279098869e-21
MLXIPL,7.64672213103448e-26,-1.70469605797648,0,0.5,1.87375279098869e-21
RRAGC,7.64672213103448e-26,-1.87353566261592,0,0.5,1.87375279098869e-21
PLIN5,7.64672213103448e-26,-1.87353566261592,0,0.5,1.87375279098869e-21
RGS3,7.64672213103448e-26,-1.93377192932545,0,0.5,1.87375279098869e-21
FA2H,7.64672213103448e-26,-2.09960315495798,0,0.5,1.87375279098869e-21
CPXM2,7.64672213103448e-26,-2.8573074756305,0,0.5,1.87375279098869e-21
KIAA1671,5.67881884209758e-20,-2.83430375046538,0.014,0.75,1.39153776906759e-15
CNTNAP3B,9.48167223134349e-20,-2.69085250582063,0.014,0.75,2.32338896356841e-15
PLOD1,1.10198711997325e-17,-1.94284706001775,0.005,0.5,2.70030923878245e-13
CLDN10,1.10198711997325e-17,-2.18928854426359,0.005,0.5,2.70030923878245e-13
AC011479.1,1.54471386585322e-17,-1.47175342634085,0.005,0.5,3.78516685688673e-13
SLC28A1,1.54471386585322e-17,-2.03938196936392,0.005,0.5,3.78516685688673e-13
NECTIN2,6.81404375558364e-15,-2.62479695187176,0.05,1,1.66971328186822e-10
TAS1R1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
DRAXIN,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
WNT4,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
EXTL1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
PIGV,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
ZBTB8A,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AL109613.1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
MLLT11,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
WNT3A,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
INO80B,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
IL1RL2,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
DARS-AS1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
LYPD6,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
FAP,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AC073254.1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
NECTIN3-AS1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AC092535.3,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
CRMP1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
FREM3,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
FOXP4-AS1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
NFKBIE,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
GPR146,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
FSCN1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AC005162.3,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
PAXIP1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
PNCK,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
SLC6A8,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
SOX7,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
DMTN,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
DPYS,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
COL22A1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AL591926.2,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
SHC3,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AL158071.4,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AK8,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AC124798.1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
LDHC,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AC103974.1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
OR9Q1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
OVOL1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
PGR,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
USP2,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
USP2-AS1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
FEZ1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
GLB1L2,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
JMJD1C-AS1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
PDZD7,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
AC025263.1,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
LINC02391,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
HRK,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
LINC00407,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
PPP1R36,1.36800440209398e-13,-0.707030621198177,0,0.25,3.35215798689109e-09
