,p_val,avg_logFC,pct.1,pct.2,p_val_adj
MEGF11,5.09938834560599e-19,-0.826443846179793,0,0.15,1.24955412020729e-14
SLC5A2,5.09938834560599e-19,-1.09584190144586,0,0.15,1.24955412020729e-14
UMOD,5.09938834560599e-19,-1.33431055715012,0,0.15,1.24955412020729e-14
LRP2,2.02113923594001e-18,-1.54115995187923,0.017,0.35,4.95259958374739e-14
AL627171.2,2.32757505466437e-17,-1.45188615078561,0.019,0.35,5.70348991394957e-13
CGNL1,8.096862432317e-17,-1.86748832222072,0.028,0.4,1.98405517041496e-12
NR1H4,1.06579502763694e-16,-0.905712774657536,0.004,0.2,2.61162413572157e-12
CDH2,1.30333873669203e-16,-1.14564592842661,0.004,0.2,3.19370124039015e-12
CNTNAP3B,9.19403965017362e-15,-1.48018632055061,0.025,0.35,2.25290747587854e-10
GGT2,3.69980443882983e-13,-0.424396581984217,0,0.1,9.06600079690862e-09
ATP6V0E2,3.69980443882983e-13,-0.457091846225649,0,0.1,9.06600079690862e-09
LARGE2,3.69980443882983e-13,-0.460098412762859,0,0.1,9.06600079690862e-09
NOSTRIN,3.69980443882983e-13,-0.46948137783434,0,0.1,9.06600079690862e-09
LINC02027,3.69980443882983e-13,-0.486349535236496,0,0.1,9.06600079690862e-09
SLC5A12,3.69980443882983e-13,-0.529759216878145,0,0.1,9.06600079690862e-09
GNAS-AS1,3.69980443882983e-13,-0.576315412175747,0,0.1,9.06600079690862e-09
EPHB4,3.69980443882983e-13,-0.728136713188752,0,0.1,9.06600079690862e-09
LINC02275,3.69980443882983e-13,-0.730146384892883,0,0.1,9.06600079690862e-09
SIM2,3.69980443882983e-13,-0.760507456777217,0,0.1,9.06600079690862e-09
ARL2-SNX15,3.69980443882983e-13,-0.783028431027496,0,0.1,9.06600079690862e-09
IL17RB,3.69980443882983e-13,-0.783064071375022,0,0.1,9.06600079690862e-09
ARHGEF15,3.69980443882983e-13,-0.861493969443892,0,0.1,9.06600079690862e-09
TINAG,3.69980443882983e-13,-0.936809779260408,0,0.1,9.06600079690862e-09
ABLIM3,1.58090210719173e-12,-1.20765675810598,0.008,0.2,3.87384252346262e-08
CUBN,4.83994005731191e-12,-1.25601977350632,0.032,0.35,1.18597891164371e-07
WDR97,1.32528771590954e-11,-0.913952911163292,0.004,0.15,3.24748501906475e-07
C5orf17,1.32528771590954e-11,-1.18457135533876,0.004,0.15,3.24748501906475e-07
SLC17A1,1.686087522817e-11,-0.889988042012662,0.004,0.15,4.13158886591078e-07
SULT1A1,5.42288736951686e-11,-0.899931807928561,0.017,0.25,1.32882432102641e-06
LINC02532,8.00432836577238e-11,-1.63268573165484,0.038,0.35,1.96138062274886e-06
KIAA1671,1.59817543801555e-10,-1.48061641519097,0.028,0.3,3.91616909331331e-06
LINC00871,4.74809169701605e-10,-0.804915501687179,0.011,0.2,1.16347238943681e-05
AC245014.3,7.02198329729231e-10,-1.42303044961426,0.03,0.3,1.72066678716851e-05
DMTN,1.02046304971495e-09,-0.943951775797318,0.006,0.15,2.50054265702151e-05
TTC8,4.46756616133275e-09,-0.805212342256903,0.013,0.2,0.000109473241217298
SLC13A3,4.97178810185750e-09,-0.890938964810527,0.013,0.2,0.000121828695647916
TULP2,5.31921839146529e-09,-0.518568557561013,0.002,0.1,0.000130342127464465
AGXT2,5.31921839146529e-09,-0.532825978635882,0.002,0.1,0.000130342127464465
KNG1,5.31921839146529e-09,-0.543594760805868,0.002,0.1,0.000130342127464465
NAXE,5.31921839146529e-09,-0.595196807225047,0.002,0.1,0.000130342127464465
CLCNKB,5.69051429056051e-09,-0.490646393596258,0.002,0.1,0.000139440362175895
MFAP3L,5.69051429056051e-09,-0.715253494402232,0.002,0.1,0.000139440362175895
KIAA2012,6.08697570883263e-09,-0.397426603616329,0.002,0.1,0.000149155252769235
SPP1,1.14731277632013e-08,-1.32631592940965,0.081,0.45,0.000281137522709484
AC007952.4,1.69317030634619e-08,-1.18208950702102,0.036,0.3,0.000414894451867072
COL27A1,1.89509320496081e-08,-1.22915202925593,0.015,0.2,0.000464373638943598
FAM184A,2.29522761502844e-08,-0.957704544483137,0.008,0.15,0.000562422574786568
NOX4,2.38331819310997e-08,-1.44180012707229,0.015,0.2,0.000584008290039668
EVPL,2.39501273821321e-08,-0.597859612298176,0.008,0.15,0.000586873921371766
TCN2,2.49900301653666e-08,-0.783806220705537,0.008,0.15,0.000612355699172143
SHROOM3,2.65251283617503e-08,-0.907672555677509,0.064,0.4,0.000649971745376329
WWC1,4.94246429208959e-08,-1.09478802915301,0.053,0.35,0.00121110145013363
GDA,2.21797172807098e-07,-1.11071928570817,0.009,0.15,0.00543491792246514
APOL4,2.30180850324867e-07,-0.852128849469728,0.009,0.15,0.00564035155636054
HIST1H2BD,2.8582396083369e-07,-1.24909878907386,0.03,0.25,0.00700383033626873
FCN3,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
SRPX,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
KIF26A,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
AC087289.5,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
SLC5A4,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
CYP26B1,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
AC010976.2,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
IZUMO1,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
SNX15,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
SPATA25,2.92274344526337e-07,-0.192085955964597,0,0.05,0.00716189053827337
LINC00539,2.92274344526337e-07,-0.201237956417395,0,0.05,0.00716189053827337
AC107959.2,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
NUDT15,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
AC090125.1,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
ZNF841,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
AC016747.2,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
AC009318.3,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
AC107023.1,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
HAUS4,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
AP005433.1,2.92274344526337e-07,-0.218925170604498,0,0.05,0.00716189053827337
ANO7,2.92274344526337e-07,-0.244279967581525,0,0.05,0.00716189053827337
AC068633.1,2.92274344526337e-07,-0.244279967581525,0,0.05,0.00716189053827337
AC104411.1,2.92274344526337e-07,-0.244279967581525,0,0.05,0.00716189053827337
HIST4H4,2.92274344526337e-07,-0.244279967581525,0,0.05,0.00716189053827337
GOLGA8Q,2.92274344526337e-07,-0.244279967581525,0,0.05,0.00716189053827337
GLIS1,2.92274344526337e-07,-0.246214280392784,0,0.05,0.00716189053827337
AC008443.2,2.92274344526337e-07,-0.246214280392784,0,0.05,0.00716189053827337
ACY3,2.92274344526337e-07,-0.246214280392784,0,0.05,0.00716189053827337
CDH19,2.92274344526337e-07,-0.246214280392784,0,0.05,0.00716189053827337
SLX1A,2.92274344526337e-07,-0.246214280392784,0,0.05,0.00716189053827337
LINC01562,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
AC012668.3,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
MYL3,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
SLC34A2,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
FXYD6-FXYD2,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
ZC2HC1C,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
AL355102.4,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
BHMG1,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
TMEM191B,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
AC022211.2,2.92274344526337e-07,-0.249925363781764,0,0.05,0.00716189053827337
AL133245.1,2.92274344526337e-07,-0.261490279269606,0,0.05,0.00716189053827337
MAS1,2.92274344526337e-07,-0.261490279269606,0,0.05,0.00716189053827337
SLC22A6,2.92274344526337e-07,-0.261490279269606,0,0.05,0.00716189053827337
PPP1R1A,2.92274344526337e-07,-0.261490279269606,0,0.05,0.00716189053827337
CERNA1,2.92274344526337e-07,-0.261490279269606,0,0.05,0.00716189053827337
GAL3ST1,2.92274344526337e-07,-0.261490279269606,0,0.05,0.00716189053827337
ST6GAL2,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
CDHR2,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
CLTRN,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
AP000842.2,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
AP003119.2,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
LINC00934,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
ZNF571-AS1,2.92274344526337e-07,-0.262595238022046,0,0.05,0.00716189053827337
AC092440.1,2.92274344526337e-07,-0.342286206486633,0,0.05,0.00716189053827337
AC009088.1,2.92274344526337e-07,-0.342286206486633,0,0.05,0.00716189053827337
LINC01416,2.92274344526337e-07,-0.342286206486633,0,0.05,0.00716189053827337
AL357314.1,2.92274344526337e-07,-0.342286206486633,0,0.05,0.00716189053827337
IL22RA1,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
HAO2,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
AGT,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
SLC22A12,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
LINC01538,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
HDHD5-AS1,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
AL031848.2,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
HIST1H4A,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
PDCD4-AS1,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
TPX2,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
HP,2.92274344526337e-07,-0.346842350764494,0,0.05,0.00716189053827337
SERF1A,2.92274344526337e-07,-0.356075962189767,0,0.05,0.00716189053827337
AL353588.1,2.92274344526337e-07,-0.356075962189767,0,0.05,0.00716189053827337
