,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SPARCL1,3.55185214163393e-89,1.75457212356515,0.354,0.016,8.70345848785977e-85
ENG,8.70505796271363e-89,-1.37225178711241,0.386,0.778,2.13308740318335e-84
RFX2,4.53920204201653e-88,1.63933211467115,0.502,0.085,1.11228606837573e-83
ARRDC3,6.08273585940981e-82,1.50943567644841,0.356,0.025,1.49051359498978e-77
MT2A,1.72123901068446e-71,1.86056811828076,0.412,0.069,4.21772407178121e-67
NFATC2,2.25877303565896e-65,1.67873194947368,0.345,0.044,5.53489744657871e-61
AKAP12,2.4004799132966e-65,1.8050913374979,0.561,0.185,5.88213597954199e-61
PLCB4,3.17456052970481e-62,1.33941152728584,0.374,0.061,7.77894312198866e-58
MYRIP,5.61094475422587e-61,1.57791406580568,0.273,0.02,1.37490590257551e-56
TACC1,2.64403130390834e-60,1.45306043080953,0.69,0.321,6.47893430709699e-56
EMP1,1.03267968352693e-58,1.62349881778456,0.532,0.18,2.53047829651438e-54
SMAD6,9.3093040112996e-58,-1.7975339452422,0.087,0.463,2.28115185492886e-53
MYOF,1.89597891566965e-55,1.37618470667272,0.262,0.023,4.64590673495691e-51
BHLHE40,5.68643232654191e-55,1.08799036008503,0.417,0.099,1.39340337729583e-50
NEDD9,4.22581563319419e-54,0.995073980485465,0.478,0.133,1.0354938627579e-49
ITPKC,1.09097597915134e-52,1.33608256422815,0.314,0.049,2.67332753931244e-48
TCF4,3.45563821827965e-51,0.865391767856331,0.83,0.605,8.46769589007246e-47
CNKSR3,3.31666671910657e-49,1.41431063173324,0.444,0.138,8.12716012849873e-45
CTGF,3.57653143138534e-49,0.920495200669405,0.258,0.028,8.76393261946665e-45
NDRG1,1.08033388437976e-48,1.32901228843674,0.458,0.146,2.64725015028415e-44
PDLIM1,1.59617501049136e-48,0.942412848394156,0.565,0.216,3.91126724570804e-44
MCTP1,2.19755519630921e-48,1.60879681690638,0.222,0.017,5.38488925303609e-44
ZFP36,3.0281075068985e-48,1.1246671985053,0.417,0.113,7.42007463490409e-44
IQCJ-SCHIP1,7.11359620229587e-47,1.00451967272487,0.431,0.123,1.74311561341058e-42
RYR3,1.04779893586181e-45,1.17910332994497,0.249,0.031,2.56752651243579e-41
LMNA,3.98440510467778e-45,1.12591472385125,0.348,0.08,9.76338626850244e-41
ABLIM1,1.54966316478082e-44,1.1947803096859,0.377,0.099,3.79729461897892e-40
PLEKHG1,5.33660661109532e-44,0.761128951853941,0.861,0.548,1.3076820839828e-39
DPYSL3,4.12719414660691e-43,0.987565052816221,0.267,0.041,1.01132765368456e-38
SIK2,1.18560991593432e-42,1.01503529974553,0.578,0.244,2.90521853800545e-38
ANO2,1.22938282826848e-42,1.21812936162173,0.318,0.07,3.01247968238907e-38
ADAMTS9,2.19839170513408e-42,1.82749735817008,0.449,0.167,5.38693903426055e-38
VWF,1.38817048100681e-41,1.18924793574303,0.383,0.111,3.40157294665908e-37
MT1X,1.4104683942161e-41,0.976515562787268,0.181,0.01,3.45621175318712e-37
CBLB,6.54310149187352e-41,1.06568452252499,0.458,0.166,1.60332158956869e-36
APOLD1,9.61847285948965e-41,1.05546370785542,0.258,0.043,2.35691058948934e-36
PVT1,2.05362144141424e-40,1.0961122966733,0.182,0.013,5.03219398004146e-36
EMCN,1.97837205725559e-39,-0.888996246682245,0.581,0.798,4.84780288909911e-35
RAMP3,4.07707998473812e-38,-1.07542094864959,0.235,0.52,9.99047679460228e-34
HEG1,4.50713227262338e-38,-0.944420384921772,0.35,0.616,1.10442769208363e-33
ZNF385D,5.83070699987272e-38,1.57794911962141,0.195,0.021,1.42875644324881e-33
JMJD1C,8.13928340133936e-38,0.726920810969248,0.854,0.618,1.9944500046642e-33
SLC4A7,1.16482661674489e-37,1.12773358462771,0.33,0.089,2.85429114167169e-33
XIST,2.66203991101667e-37,0.831875052346223,0.451,0.158,6.52306259795524e-33
CDK17,1.48359133061893e-36,0.777623780522559,0.729,0.464,3.63539219654863e-32
FN1,3.25809244391801e-36,1.03570424378268,0.231,0.038,7.98362972457669e-32
SIK3,7.68559182758476e-36,0.742651310557584,0.726,0.416,1.88327742143137e-31
SPP1,1.60855091915208e-35,-1.23634979053685,0.029,0.288,3.94159317229027e-31
ESYT2,3.14418157821255e-35,0.90219557933305,0.426,0.154,7.70450253925204e-31
YBX3,3.90856659053953e-35,0.801170860539717,0.448,0.168,9.57755157345806e-31
NR4A1,3.98643342132305e-35,0.929385359666002,0.348,0.105,9.76835645560999e-31
IGKC,5.07443556218642e-35,0.8222818240054,0.123,0,1.24343969015816e-30
AKAP13,1.41799597174779e-34,0.708470454241103,0.711,0.417,3.47465732917078e-30
SAMD4A,8.19687900862e-34,0.944513486477806,0.448,0.177,2.00856323227224e-29
ARHGAP26,4.59981354288058e-33,0.7092675212908,0.838,0.624,1.12713831054746e-28
NNMT,6.96067067864832e-33,0.840329957837109,0.175,0.019,1.70564274309599e-28
SSH1,3.04778507581362e-32,0.86305224264905,0.5,0.221,7.4682925497737e-28
TEK,3.4298670280094e-32,-0.934904751112757,0.329,0.567,8.40454616543424e-28
CMTM8,8.71803794700022e-32,-0.971910807164713,0.199,0.474,2.13626801853293e-27
WWTR1,3.60056325069005e-31,0.898139260455168,0.643,0.377,8.82282018949089e-27
NPAS3,1.17057936327326e-30,0.846989529583536,0.285,0.075,2.8683876717648e-26
GALNT15,2.54163934396486e-30,0.699435283421499,0.191,0.029,6.22803304845148e-26
INPP1,2.61325840439453e-30,0.74464034918049,0.269,0.068,6.40352839412836e-26
LRP2,5.77383279006909e-30,-1.14241613350318,0.025,0.247,1.41481998687853e-25
IRAK3,9.13266712277369e-30,0.729635034254262,0.375,0.13,2.23786875176446e-25
MIR99AHG,1.04346497766311e-29,0.905454913646261,0.489,0.226,2.55690658126569e-25
TPM4,1.95751899216522e-29,0.727737424574462,0.321,0.1,4.79670453840165e-25
RAI14,1.96277477938319e-29,0.755686642416227,0.444,0.184,4.80958331940058e-25
RALGAPA2,2.42105284388717e-29,0.722834384825135,0.711,0.442,5.93254788866111e-25
COL8A1,2.79884482492505e-29,0.91080109669858,0.128,0.008,6.85828935899633e-25
MIR222HG,3.46280877531062e-29,0.908378029180244,0.182,0.028,8.48526662302115e-25
CLIC4,4.38819109379617e-29,0.958829916466936,0.608,0.358,1.07528234562381e-24
ASAP1,7.40265678133703e-29,0.591381980198949,0.836,0.613,1.81394701769883e-24
PFKFB3,8.73309357822897e-29,0.848245431552044,0.256,0.064,2.13995725040923e-24
SEMA3A,3.15879186163517e-28,1.04046000695521,0.15,0.017,7.74030357775082e-24
NFATC1,6.83923205087864e-28,0.78714444582427,0.175,0.027,1.6758854217473e-23
ATP2B1,1.25338987958323e-27,0.657795346222901,0.276,0.078,3.07130656093075e-23
SRGN,1.569561167406e-27,0.717024642308729,0.139,0.013,3.84605268461165e-23
SPRY1,2.02577607292167e-27,0.830763503699237,0.325,0.11,4.96396168908725e-23
MEIS2,2.49607337642116e-27,-0.485604899414072,0.72,0.88,6.1163782015824e-23
TNFRSF10B,2.73692318989733e-27,0.675311977749113,0.262,0.07,6.70655658452443e-23
SERPINE1,7.04839215027772e-27,1.81478486037552,0.143,0.016,1.72713801250405e-22
ITPR2,9.42827477241842e-27,0.884211044608891,0.415,0.176,2.31030445023341e-22
IGFBP3,1.06963455201132e-26,0.851177170725279,0.099,0.002,2.62103250624854e-22
ENPP2,2.19181939202456e-26,1.28227222767875,0.278,0.09,5.37083423821697e-22
DIAPH2,2.99037382565141e-26,0.598991186863379,0.332,0.114,7.32761202237621e-22
