,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SAMD4A,2.2143301868404e-39,2.98675661641837,0.797,0.117,5.42599468983372e-35
PDGFRB,1.93184742449936e-38,-1.52705805705513,0.156,0.631,4.73379892899323e-34
SPP1,1.60723846363865e-37,-1.58605857227514,0.031,0.324,3.93837713130014e-33
PIP5K1B,2.01537199225095e-37,-1.36587152884002,0.082,0.495,4.93846752981173e-33
POSTN,3.62907213143524e-35,-1.42175690424931,0.008,0.207,8.89267835086891e-31
MALAT1,2.93161096225182e-29,-0.585983562912211,1,1,7.18361950190186e-25
SLCO3A1,6.74828943416002e-27,-1.54637021482785,0.241,0.64,1.65360084294657e-22
ENG,3.59480650383946e-25,-1.34515130550186,0.228,0.622,8.80871385700822e-21
LRP2,1.2513996269709e-24,-1.02193957699244,0.027,0.243,3.06642964592949e-20
IL18R1,7.52904971824745e-24,-1.28034653877668,0.029,0.243,1.84491834295935e-19
NFATC2,3.89306874889703e-21,3.30198082584754,0.512,0.018,9.53957566229728e-17
NDUFA4L2,7.18386582721179e-21,-0.55518919537243,0,0.081,1.76033448229998e-16
UMOD,7.18386582721179e-21,-0.67481463610449,0,0.081,1.76033448229998e-16
IFITM3,1.50043550228773e-20,-1.48294682771473,0.078,0.342,3.67666715480586e-16
PDE7B,1.52448555732693e-20,-1.19409957284893,0.202,0.559,3.73559940967391e-16
CD248,6.67688068981966e-20,-0.637242160508055,0.007,0.126,1.63610284423341e-15
RFX2,1.05046193236036e-19,2.26981638277949,0.498,0.027,2.57405191905584e-15
GATA3,1.13368328912261e-19,-1.32850269670864,0.041,0.252,2.77797753166604e-15
PIEZO2,2.30714315974798e-18,-1.26912439735299,0.096,0.369,5.65342359864645e-14
SORBS1,1.0961420361431e-17,1.50045250476579,0.666,0.252,2.68598644536506e-13
MIR99AHG,3.28774329325256e-17,1.41327527589185,0.599,0.162,8.05628616578606e-13
ADIRF,7.0317866036807e-17,-1.44795298065328,0.107,0.369,1.72306898936592e-12
LZTS1,7.98734100732093e-17,-0.95150205764859,0.034,0.216,1.95721804043392e-12
SLC28A1,2.09043754320709e-16,-0.651780110687928,0.005,0.099,5.12240815587465e-12
TRPM3,4.43307828007187e-16,-1.46421156598912,0.128,0.396,1.08628150174881e-11
ESYT2,5.30801467177131e-16,1.61873358378498,0.55,0.135,1.30067591517084e-11
MAGI1,5.71178087278576e-16,-0.873367309457649,0.38,0.721,1.39961478506742e-11
GPRIN3,7.14532761835094e-16,-0.877588020347888,0.044,0.234,1.75089107960072e-11
ZFP36,1.15710099265968e-15,1.42652063742399,0.471,0.054,2.83536027241329e-11
AKAP12,1.63218100752369e-15,1.5030098870336,0.749,0.423,3.99949634083606e-11
GJA5,3.37784094574147e-15,-0.754945774776168,0.016,0.144,8.27706145344491e-11
NEGR1,6.72324846655416e-15,1.30318864873683,0.593,0.171,1.64746480424443e-10
FGFR1,1.62921618989053e-14,1.74975366344529,0.431,0.045,3.99223135170775e-10
MEF2C,1.73649249729375e-14,-1.21731502720012,0.139,0.405,4.25510121536861e-10
MAPT,1.76272777744263e-14,-0.928599366861188,0.025,0.171,4.31938814584543e-10
CDH6,3.2855267259787e-14,-0.898392091632877,0.022,0.162,8.05085468933821e-10
NTRK3,3.860990208513e-14,-1.51833186449081,0.111,0.351,9.46097040694026e-10
PLCL1,6.70738328614316e-14,-1.06414218664401,0.282,0.577,1.64357720043652e-09
