"","-1","0","1"
"IC-A",87,8041,34
"IC-B",2,3088,1
"PT_1",89,10865,192
"PT_2",99,5974,100
"PT_3-PEC-POD",2618,2618,2618
"TAL_1",497,9509,547
"TAL_2",8248,8248,8248
