,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RACK1,4.92658889398962e-266,4.11449076268351,0.964,0,8.63680299005321e-262
ATP5IF1,1.70827425801642e-246,3.26647360212257,0.912,0,2.99477560172858e-242
ATP5F1E,1.90789827472192e-244,3.22027583677668,0.907,0,3.344736465415e-240
ATP5MC2,5.19775643774279e-237,3.15741919573803,0.887,0,9.11218681100689e-233
ELOB,5.17043517527247e-231,2.80501467415475,0.87,0,9.06428990577017e-227
ATP5MG,1.74886807521286e-222,2.60192687474716,0.847,0,3.06594062265566e-218
ATP5F1D,3.47559035655708e-221,2.56409064657619,0.843,0,6.09305745408021e-217
ATP5MD,4.98168047972442e-216,2.33860004139874,0.828,0,8.73338404900488e-212
ATP5MC3,2.17675593995571e-215,2.5826285377269,0.827,0,3.81607083833636e-211
SELENOW,9.49143684238979e-215,2.40262506188674,0.825,0,1.66394379283935e-210
ATP5F1C,1.15056312382553e-209,2.39785617172582,0.81,0,2.01705221237854e-205
ATP5ME,9.05882683168673e-203,2.17913198357348,0.79,0,1.588102931863e-198
ATP5PF,1.13813264049674e-199,2.19405129503215,0.781,0,1.99526033205484e-195
JPT1,3.3087127514418e-197,2.10253251880389,0.774,0,5.80050432455262e-193
ATP5MPL,2.28075014625083e-195,2.11679423124892,0.768,0,3.99838308139234e-191
UCA1,6.70578546177267e-190,2.45180308895241,0.752,0,1.17559124930337e-185
ATP5PD,1.07506015197971e-185,1.95648718932076,0.739,0,1.88468795243563e-181
MTRNR2L8,1.77416856648399e-182,-2.75731904980481,0.203,0.936,3.11029491390308e-178
ATP5F1B,4.00389657841672e-182,1.94601399482639,0.728,0,7.01923109162236e-178
SEM1,1.56565658532631e-181,1.85873467806586,0.726,0,2.74475255973555e-177
BEX3,1.17660378731221e-175,1.93358944359838,0.708,0,2.06270409953704e-171
NOP53,1.72108217646188e-174,1.77876604641556,0.704,0,3.01722916355532e-170
TRIR,3.59916115694311e-172,1.71317237622717,0.697,0,6.30968942423696e-168
MMP24OS,7.30140653686258e-170,1.68772899036974,0.69,0,1.28000957997738e-165
RTRAF,5.08840862053784e-163,1.60119188978503,0.668,0,8.92048915266488e-159
SMIM26,5.08840862053784e-163,1.63310811280763,0.668,0,8.92048915266488e-159
RPL41,1.46836759646968e-158,1.72965106608276,0.995,0.976,2.57419523337099e-154
STMP1,7.54100775589865e-157,1.58134570408625,0.648,0,1.32201406968659e-152
TCIM,3.49663873398673e-155,1.67179558096685,0.642,0,6.12995736455214e-151
ATP5F1A,3.49664344693311e-155,1.49345319141498,0.642,0,6.12996562681843e-151
PIGR,1.38251886744239e-154,2.5569027199058,0.87,0.234,2.42369382651326e-150
COPS9,1.11299398346285e-149,1.35452816897039,0.624,0,1.95118975240873e-145
ATP5MC1,7.11260633479433e-146,1.41506083093454,0.611,0,1.24691101655279e-141
SELENOK,2.46933964961036e-145,1.35889606262597,0.609,0,4.32899933973193e-141
ELOC,2.46933964961036e-145,1.39218066999938,0.609,0,4.32899933973193e-141
