,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DHRS3,0,1.57526374781564,0.868,0.35,0
S100A16,0,-1.51104661188067,0.871,0.982,0
ATP1B1,0,1.8152995839891,0.986,0.96,0
PIGR,0,2.91147901061837,0.947,0.164,0
C4BPA,0,0.889369030755409,0.478,0.008,0
RHOU,0,0.90786295405037,0.633,0.065,0
SH3YL1,0,1.27584471850576,0.922,0.665,0
RPS7,0,-0.915131689710415,0.987,1,0
ANXA4,0,1.70913124841612,0.984,0.937,0
TFPI,0,1.43631191593613,0.951,0.736,0
EEF1B2,0,-1.37373551389325,0.911,0.993,0
SERPINE2,0,-1.8249232900019,0.047,0.761,0
ITM2C,0,1.47291134785482,0.943,0.735,0
RPL15,0,-0.859574358203082,0.99,0.999,0
CP,0,3.21816469104182,0.926,0.152,0
UCHL1,0,-1.73781318053446,0.099,0.798,0
AGR2,0,1.88785857738291,0.991,0.879,0
AGR3,0,1.21038692623465,0.603,0.049,0
ARPC1B,0,-1.32833250037092,0.726,0.966,0
CYP3A5,0,0.996109611187092,0.595,0.064,0
CFTR,0,1.7729471583859,0.787,0.175,0
TMSB4X,0,-1.06906828494557,0.996,0.999,0
CLU,0,2.37802212798903,0.963,0.797,0
AQP3,0,1.44486683377033,0.715,0.054,0
AK1,0,-0.961279142296271,0.124,0.805,0
MUC5B,0,2.78170830091358,0.596,0.022,0
MTRNR2L8,0,-2.18071786634493,0.337,0.992,0
CD59,0,-1.50815388014145,0.847,0.988,0
PPP1R14B,0,-1.13376127963375,0.918,0.992,0
CST6,0,-2.11867464679877,0.046,0.734,0
CCND1,0,-1.62529709395594,0.675,0.957,0
SORL1,0,1.14954597020354,0.797,0.237,0
APLP2,0,1.14939652865454,0.987,0.981,0
PLAU,0,-2.06151383120245,0.417,0.933,0
COL17A1,0,0.942169958438361,0.545,0.038,0
RPL41,0,1.54879701465955,0.999,0.997,0
SLC25A3,0,-1.02255530818283,0.924,0.988,0
MIA2,0,1.11804252504236,0.747,0.01,0
FOS,0,2.80423264214552,0.943,0.573,0
CA12,0,1.77027209742304,0.921,0.285,0
RPS17,0,-2.28402985854268,0.763,0.989,0
TMC5,0,1.50947906347405,0.78,0.141,0
