,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CGNL1,1.02011958474911e-127,-2.85600643699802,0.12,0.705,1.78837164402367e-123
SFRP1,4.01732559754244e-127,-1.77723439395601,0.007,0.321,7.04277350505166e-123
SPP1,9.71047733246535e-124,-2.95750917796102,0.112,0.679,1.7023437811545e-119
GCNT2,9.08851489091231e-122,-2.82839090671439,0.068,0.573,1.59330754552584e-117
CA10,8.80904547259992e-117,-2.05436911614001,0.022,0.389,1.54431376180149e-112
SLC12A3,2.35163686842346e-111,-2.20017660142508,0.011,0.316,4.12265459403317e-107
PTGER3,3.07818526739754e-107,-2.34171034541182,0.029,0.397,5.39636659227462e-103
HS6ST2,7.21288346940467e-103,-1.70275421795144,0.007,0.274,1.26449060102133e-98
HRH1,5.17752317825537e-85,4.28513281442005,0.777,0.026,9.07671588379949e-81
EGF,2.06621279117764e-83,-1.5008087837465,0.01,0.252,3.62227764421353e-79
SGMS2,1.0463868040066e-75,2.61406881515107,0.87,0.397,1.83442070610396e-71
SYNE1,9.11958416650065e-75,2.32877841984626,0.9,0.436,1.59875430022923e-70
EFNA5,3.534154862421e-74,-2.06686560545881,0.286,0.803,6.19572688931025e-70
LAMA3,8.16436737522079e-72,4.75610131174405,0.708,0.03,1.43129524454996e-67
MACC1,3.46951672762128e-71,2.4434020442684,0.877,0.432,6.08240977519287e-67
MECOM,1.94362738461692e-67,-1.54900231257563,0.417,0.927,3.40737316797191e-63
EZR,8.67220372989289e-65,1.77763233159451,0.883,0.457,1.52032403588752e-60
KCNIP4,1.63248267555979e-64,-1.8826043615757,0.552,0.919,2.86190537852387e-60
RFX2,2.10535279403203e-63,2.94802416333085,0.718,0.103,3.69089398321754e-59
MET,8.44294342373289e-62,2.11723103028681,0.853,0.427,1.48013241161461e-57
ESRRG,9.42474974925355e-62,-1.61452680290451,0.602,0.932,1.65225287854164e-57
SLC19A3,1.09922152286367e-60,-0.923937561742011,0.006,0.175,1.9270452517323e-56
CAMK1D,4.9448676842423e-56,3.38093480332589,0.629,0.047,8.66884753724517e-52
ATP6V0A4,5.4363509120917e-56,-1.48053904373973,0.04,0.303,9.53046678398796e-52
BTBD11,1.26159637635892e-55,-1.3012958831271,0.01,0.188,2.21170460739482e-51
TBC1D9,4.43903035740393e-55,-1.72673328781575,0.072,0.389,7.78206411956483e-51
FOXP2,4.54927179345539e-55,2.9562081111273,0.631,0.056,7.97532838110665e-51
SAMD5,5.9266219323656e-54,-1.896882819822,0.093,0.432,1.03899609096301e-49
SGIP1,1.7547501970317e-53,-1.37298754622473,0.032,0.274,3.07625257041628e-49
GSDME,6.12628977060655e-52,-0.635351141495303,0.003,0.137,1.07399985968503e-47
