,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NOX4,1.38175893648571e-50,-0.938870167248873,0.015,0.201,2.4223615915531e-46
GRAMD1B,4.09086643390655e-49,-0.88378624090919,0.01,0.171,7.17169794528158e-45
ATP1B1,1.00916697821592e-48,-1.64684752228003,0.264,0.684,1.76917062951032e-44
AL033504.1,2.55384426834866e-47,-1.64392490831759,0.089,0.397,4.47714438684203e-43
MAST4,3.36934914307964e-47,-1.42185628374189,0.269,0.692,5.90680598273292e-43
IDH2,9.13645729284785e-46,-1.04640841090863,0.026,0.231,1.60171232800916e-41
CPXM2,9.83198036614765e-46,-0.996841554160074,0.03,0.248,1.72364447798935e-41
TCAIM,2.06282819326401e-44,-1.30621428691976,0.049,0.295,3.61634410561114e-40
ANXA2,8.10474018044251e-44,1.97982846297865,0.673,0.209,1.42084200103338e-39
NPEPPS,2.02717538460914e-43,1.56531842118935,0.829,0.504,3.55384116675828e-39
DNER,2.25532940143181e-43,-1.34733729470383,0.041,0.269,3.95381797365011e-39
LAMC2,3.60126893444029e-43,3.35648436395001,0.612,0.124,6.31338456896727e-39
LINC01762,1.4220197622094e-42,-1.29256198884286,0.021,0.201,2.4929428451293e-38
RP1,1.45909020130445e-42,3.22837306234808,0.528,0.03,2.55793103190682e-38
CNNM2,1.86848344398045e-42,-1.93457658175887,0.072,0.346,3.27563832564213e-38
ETS1,1.89166038101611e-41,2.02999055572497,0.656,0.218,3.31626981395935e-37
AC138305.1,3.24027327523178e-41,-1.33376899519651,0.1,0.415,5.68052307880882e-37
CACNA1D,2.5805292174958e-40,-1.50457528883047,0.174,0.526,4.52392577119188e-36
GRM8,6.08851401703454e-40,2.4484593464184,0.53,0.051,1.06737739232633e-35
AL627171.2,1.09333858123594e-39,-0.92777160621493,0.032,0.235,1.91673186676473e-35
AKAP13,1.71127781203939e-39,1.439380475839,0.831,0.594,3.00004113228625e-35
TMEM52B,2.32802770134344e-39,-1.52183301332614,0.031,0.226,4.08126536322519e-35
VMP1,3.38369943963621e-39,1.49103838966002,0.8,0.543,5.93196348762625e-35
NRG3,9.09301891709664e-39,1.98521267750814,0.661,0.231,1.59409714635621e-34
EDIL3,9.33693259439315e-39,2.64927681338062,0.496,0.034,1.63685765312306e-34
PPP2R3A,3.11182231121778e-38,-1.23423796802195,0.445,0.795,5.45533569379588e-34
AHNAK,4.96622703138097e-38,2.17607393507405,0.601,0.171,8.70629260871397e-34
EMP1,7.9544702881929e-38,2.29366373567767,0.601,0.167,1.3944981862231e-33
KLF6,1.19277992761343e-37,1.73823487292828,0.724,0.393,2.0910624910991e-33
ABCC5,1.22158219877045e-37,-1.33931259654188,0.072,0.325,2.14155575266447e-33
ADAMTS16,3.01868803374449e-37,-1.24197340979872,0.036,0.235,5.29206199195746e-33
CAST,3.30491108094156e-37,1.70990074479284,0.736,0.38,5.79383961599865e-33
CACNA2D3,5.89229484567548e-37,-1.46507910086416,0.415,0.778,1.03297820939537e-32
ST5,1.18146737286825e-36,-1.54931610333206,0.14,0.457,2.07123045137533e-32
KNG1,1.21453384912886e-36,-0.952510388397207,0.006,0.12,2.1291992909078e-32
PCCA,1.32057374984346e-36,-1.28042656382718,0.476,0.803,2.31509784085056e-32
FAM155A,1.83830806328519e-36,-1.93371883285808,0.082,0.342,3.22273786574526e-32
LINC01606,2.17029631987584e-36,-1.84407609947054,0.104,0.376,3.80474647837434e-32
SLCO3A1,3.91022980153037e-36,1.7283664239881,0.59,0.12,6.85502386506289e-32
AK3,1.49450661289513e-35,-1.7265187127629,0.158,0.47,2.62001954306646e-31
HKDC1,3.29883993590302e-35,-1.45201447192789,0.046,0.256,5.78319629163159e-31
GPI,3.35709669775931e-35,-1.23961239440102,0.068,0.308,5.88532622084184e-31
CLCNKA,4.79691561297881e-35,-0.780278757221628,0.008,0.128,8.40947276111315e-31
ARHGEF28,6.11712008299514e-35,-1.25681418759247,0.171,0.491,1.07239232174988e-30
TMEM178B,6.59868816305412e-35,2.42062532580607,0.562,0.145,1.15681602186502e-30
ESYT2,1.03228892943856e-34,1.6959919812769,0.684,0.325,1.80970572219875e-30
MAL2,1.13824599595184e-34,2.24230170611687,0.522,0.103,1.99545905550317e-30
KCNQ1,1.44809660181046e-34,-1.35849221366458,0.138,0.436,2.53865815263391e-30
TSPAN9,1.4902607187404e-34,-1.25816798373439,0.167,0.491,2.6125760660238e-30
IGFBP7,4.00628551412347e-34,-1.78120737058292,0.269,0.598,7.02341913480986e-30
IL6R,6.29680754906596e-34,2.24255193706718,0.471,0.047,1.10389333142675e-29
ACSL4,7.43018379439515e-34,-1.39459431528365,0.264,0.611,1.30258552099541e-29
FA2H,7.70412139556326e-34,-1.20737611029183,0.046,0.252,1.3506095218562e-29
SREBF2,9.03095031801949e-34,-1.27632700866714,0.224,0.573,1.583215900252e-29
AC068631.1,1.2918694546534e-33,-0.788656502008158,0.014,0.15,2.26477634095288e-29
CLCNKB,1.76521350843519e-33,-0.788730702166414,0.014,0.15,3.09459580163774e-29
CD44,2.52013967329472e-33,2.29042198615657,0.57,0.162,4.41805686125298e-29
GPRIN3,2.81570889568829e-33,-0.837646197948597,0.025,0.188,4.93621926503114e-29
SIM1,3.66399712745331e-33,-1.3026051407684,0.083,0.333,6.4233533641384e-29
SDK1,4.24793872873695e-33,1.81099811757174,0.664,0.295,7.44706138534875e-29
WDFY2,4.368454276553e-33,-1.19998590752394,0.087,0.338,7.65833719222506e-29
LNX1,5.66111038883682e-33,-1.6405692254655,0.088,0.338,9.92449262266982e-29
MTUS1,7.93909754069383e-33,-1.19148166069964,0.069,0.303,1.39180318985904e-28
OSBPL3,8.85087762052784e-33,-1.26754315493972,0.153,0.462,1.55164735565474e-28
ZBTB20,1.24841002758442e-32,0.841028921102013,0.966,0.868,2.18858761935824e-28
BCL2,3.00869826603075e-32,1.95355670666142,0.66,0.291,5.2745489301785e-28
FAM135A,7.1862440965517e-32,1.76337835777865,0.683,0.38,1.25982045256648e-27
TNIK,8.04439799249885e-32,2.05178631490127,0.5,0.09,1.41026341206497e-27
ARHGAP42,1.73431370509428e-31,2.48934274900268,0.463,0.064,3.04042535640078e-27
TFAP2B,2.93472837836875e-31,-0.900350290799254,0.013,0.137,5.14487232011826e-27
PTH1R,5.91223914300519e-31,-1.37314344147972,0.183,0.491,1.03647464416024e-26
TMEM213,1.19624519321003e-30,-1.16988016781479,0.027,0.184,2.0971374482165e-26
ITPR1,1.94112088385237e-30,-1.280660291998,0.204,0.521,3.40297902148158e-26
STOX2,2.44482525117146e-30,1.65414111837534,0.601,0.188,4.2860231478287e-26
ELF3,2.49503094095432e-30,1.66680519053338,0.681,0.376,4.37403874258701e-26
LINC01320,6.42231167726453e-30,1.66670280372927,0.746,0.415,1.12589546014124e-25
KCTD1,7.86169900137175e-30,-1.47575940291275,0.124,0.389,1.37823445193048e-25
FAM184A,8.19728237198199e-30,-0.938021898133008,0.024,0.175,1.43706557263216e-25
MCU,1.2235938056358e-29,1.53990801552648,0.682,0.363,2.14508230066012e-25
ANK2,1.33602880348889e-29,-0.903683052717799,0.03,0.192,2.34219209539637e-25
JAK1,1.37936950990221e-29,1.50855838870862,0.704,0.385,2.41817268780957e-25
SEMA5A,2.12929181852589e-29,2.21556385192032,0.475,0.09,3.73286148705774e-25
HOXB3,2.30265903709742e-29,-1.02856035947249,0.074,0.299,4.0367915579355e-25
LINC01182,2.58225329005066e-29,-1.10800438987442,0.035,0.205,4.5269482427878e-25
VCL,2.8497031985342e-29,1.67328820702065,0.716,0.427,4.9958146773503e-25
HDAC9,9.34835589940134e-29,2.03554814181193,0.567,0.188,1.63886027272405e-24
EVA1C,1.30279924897544e-28,2.2339321458933,0.443,0.068,2.28393736337885e-24
WNK4,1.46848261695998e-28,-0.561554376486159,0.007,0.103,2.57439687579254e-24
WDR91,2.43090320003345e-28,-0.784193768464647,0.047,0.235,4.26161639997865e-24
COL7A1,2.94159475927385e-28,-0.729758191973299,0.008,0.111,5.15690977248298e-24
INPP4B,3.04559765341635e-28,-1.07551898656691,0.061,0.265,5.3392372462042e-24
APBB2,4.29652756613157e-28,-1.14589720132876,0.292,0.607,7.53224247618526e-24
FBXO17,5.02448999803409e-28,-1.02705002197504,0.065,0.274,8.80843341555356e-24
ZSWIM6,5.73067685839359e-28,1.21344348709402,0.823,0.62,1.00464496004498e-23
ITGB8,6.18992298866218e-28,1.6940461213049,0.652,0.338,1.08515539914237e-23
SYNE2,8.65300642216097e-28,1.11069559299456,0.877,0.739,1.51695855586904e-23
KIFC3,8.84139988907531e-28,-1.06640577291094,0.149,0.427,1.54998581455379e-23
GPRC5A,1.52170958783373e-27,1.82575667578868,0.494,0.12,2.66770907843131e-23
ABHD17C,1.94010549475438e-27,-0.941865593567379,0.018,0.145,3.40119894285391e-23
BCL2L1,2.55527385573107e-27,-1.10740091211962,0.216,0.526,4.47965059648214e-23
HLF,2.84707613986458e-27,-0.655283513853521,0.013,0.128,4.9912091807966e-23
PRDM16,4.31696871043605e-27,-1.14268667555284,0.096,0.325,7.56807784626543e-23
DENND2A,5.31282983777063e-27,-1.12145559792947,0.064,0.265,9.31392198859569e-23
FER,9.59484423936959e-27,1.34211807999208,0.649,0.333,1.68207214360388e-22
PROSER2,1.5701655763294e-26,1.83626418612089,0.485,0.124,2.75265727186306e-22
MSI2,1.68331408208419e-26,-1.03193756530999,0.569,0.812,2.95101791730179e-22
LRRK2,3.25357097615308e-26,1.86065840070172,0.483,0.124,5.70383527829397e-22
RGS3,4.23679530346396e-26,-0.911140160253768,0.048,0.226,7.42752584650266e-22
FXYD2,4.47334984244015e-26,-0.731174708941742,0.023,0.158,7.84222960878184e-22
TFCP2L1,6.63779134503185e-26,-1.38038119372275,0.198,0.474,1.16367120069753e-21
SPAG9,7.11683303344988e-26,1.3273546201894,0.717,0.462,1.2476519990941e-21
NELL1,7.19195658064846e-26,-1.03320994142833,0.022,0.154,1.26082190815348e-21
ATP9A,7.9016149491842e-26,1.66337872936333,0.548,0.214,1.38523211674148e-21
ITPKB,8.22990078377699e-26,-0.642448585700852,0.016,0.137,1.44278390640394e-21
SALL3,1.26864620242574e-25,-0.304022876531448,0.001,0.064,2.22406365747256e-21
TRMT9B,1.80026920053947e-25,-0.910881608557827,0.089,0.312,3.15605193546575e-21
CACNA1H,3.66001591188276e-25,-0.511312344955824,0.007,0.094,6.41637389512167e-21
NPC1,4.65817868366827e-25,1.47662468834771,0.668,0.41,8.16625305033885e-21
PDE4D,6.93804575495601e-25,0.729821405578181,0.972,0.889,1.21630880130134e-20
ITPKC,1.36203795118104e-24,1.89544951669083,0.528,0.188,2.38778873221548e-20
EFHD1,1.43758881858946e-24,-1.33645967855158,0.061,0.244,2.52023695786919e-20
CPPED1,1.58702947925911e-24,-0.876654145056259,0.081,0.295,2.78222138008915e-20
SLC6A20,1.61508092026424e-24,1.98474220538689,0.353,0.021,2.83139836131524e-20
CLASP1,1.73211374034663e-24,-1.10624619351624,0.296,0.59,3.03656859820168e-20
DIRC3,2.12870804909206e-24,-0.836061510406172,0.021,0.145,3.7318380808633e-20
NCEH1,2.24455937613332e-24,1.60241541476519,0.694,0.397,3.93493704229933e-20
NUAK2,2.84496455288479e-24,-1.0852056328376,0.045,0.209,4.98750735766233e-20
COBL,3.08268051865998e-24,1.22495266340361,0.652,0.363,5.40424721726282e-20
HIST1H2BD,3.41944664622696e-24,-1.59647695147718,0.036,0.188,5.99463191550048e-20
MYO1D,3.52397985884005e-24,1.20033271130555,0.728,0.513,6.17788909053249e-20
CA12,4.30532554988978e-24,-1.34719965523212,0.106,0.329,7.54766622151177e-20
RHEX,4.89349737190904e-24,2.47777068710491,0.386,0.056,8.57879024269374e-20
PRKCQ,6.95873241516155e-24,-0.941340945464885,0.073,0.269,1.21993537970197e-19
UBA6-AS1,1.05412777983215e-23,-0.976396449226946,0.225,0.517,1.84799141082374e-19
CLCN5,1.18376216784174e-23,-1.38876594939029,0.167,0.419,2.07525345644335e-19
RNF150,1.59635486052644e-23,-1.28792460799441,0.096,0.308,2.7985697059889e-19
CABLES1,1.65515374962031e-23,2.40180389078736,0.452,0.12,2.90165003845936e-19
ADAMTS17,1.79369773462962e-23,-0.949109344853794,0.065,0.256,3.14453149857919e-19
PTPRM,2.02203571766342e-23,1.21259327092096,0.711,0.453,3.54483081663575e-19
PLEC,2.26646884275114e-23,1.8356925909441,0.386,0.06,3.97334652822703e-19
AC007952.4,4.65075585771937e-23,-0.731391661742407,0.029,0.167,8.15324009416783e-19
ARL17A,4.71105194972966e-23,-0.607839488725893,0.04,0.197,8.25894517307107e-19
MYO1E,7.57423016084494e-23,1.12385937854495,0.852,0.692,1.32783828949773e-18
PCSK6,1.04028718228845e-22,-0.604963324754052,0.007,0.09,1.82372745926989e-18
PDE7B,1.65210729921003e-22,-0.891820434639422,0.258,0.556,2.8963093062451e-18
ACSS1,1.74059236787755e-22,-0.766426460278877,0.016,0.124,3.05143248012613e-18
ADGRG1,2.07069074758765e-22,-0.776160194336129,0.055,0.226,3.63012794959591e-18
PLCD4,2.2678179835856e-22,-0.678775665175555,0.01,0.103,3.97571170702392e-18
GAS6,3.3957769068741e-22,-0.419671278635956,0.014,0.115,5.95313649544098e-18
CORO1C,3.99973999743686e-22,1.65809579048515,0.413,0.103,7.01194418950657e-18
SMTNL2,4.80438523924718e-22,-0.563948827263408,0.006,0.081,8.42256776292424e-18
MYLIP,5.0751931395965e-22,-0.656387922021759,0.022,0.141,8.89732109302662e-18
AKAP12,5.19898978208619e-22,2.01531535586914,0.379,0.056,9.11434898697529e-18
CREB5,5.83128649980093e-22,1.58755177590401,0.544,0.222,1.0222828362801e-17
FRK,6.03554549013717e-22,-0.975050417361507,0.125,0.355,1.05809147987595e-17
PTPN4,7.47616760770026e-22,-1.09179535791414,0.111,0.325,1.31064694330593e-17
PPM1K,1.06274106542023e-21,-0.739794944425487,0.018,0.128,1.8630913617882e-17
TMEM37,1.93367073191735e-21,-0.293717673589989,0.001,0.051,3.3899181601243e-17
ATP6V0D2,2.03285057502388e-21,-0.832109379885374,0.009,0.094,3.56379034307436e-17
SLC13A3,2.16463108423811e-21,-0.731791816986065,0.018,0.128,3.79481475377784e-17
RORA,2.29348484744367e-21,0.895197920349108,0.878,0.748,4.0207082860535e-17
GAD1,2.7431498209528e-21,-0.913690354992925,0.005,0.077,4.80901595111236e-17
FAM49B,2.99494932474114e-21,-1.01502016385294,0.367,0.637,5.2504456612037e-17
SUSD4,3.17337927130789e-21,-0.927619759684515,0.033,0.167,5.56325120052987e-17
PPP4R1,3.2055385213281e-21,1.34128696845236,0.552,0.265,5.61962958174029e-17
ITPR2,4.1053842577969e-21,-0.970611452069897,0.307,0.59,7.19714914234374e-17
AC012593.1,4.91750211341913e-21,1.14227902710126,0.604,0.261,8.62087295503508e-17
AC096564.1,7.40606472226444e-21,1.65636085283048,0.495,0.192,1.29835720646018e-16
TMPRSS2,9.40265602178014e-21,-0.771898349552288,0.028,0.154,1.64837962717828e-16
ARNT2,1.06067484176859e-20,-1.01355119653523,0.126,0.342,1.85946906510452e-16
DCDC2,1.36683269799869e-20,-1.16529952036647,0.411,0.662,2.3961944028615e-16
PCSK5,1.47585714913178e-20,2.00324609485959,0.41,0.115,2.58732516814292e-16
SLC44A5,1.53394857310197e-20,1.96206356932192,0.293,0.009,2.68916524350506e-16
RAB31,1.74262618401897e-20,1.90646355647352,0.386,0.085,3.05499796320366e-16
ABCA5,1.96556561719806e-20,-1.08067179755799,0.167,0.402,3.44583308350991e-16
GALNT16,2.40447371134002e-20,-0.653119042540873,0.008,0.085,4.2152828633502e-16
PLCG2,2.94739009257545e-20,-1.05836060922038,0.199,0.444,5.16706957129403e-16
DAB2IP,3.11954063324521e-20,-0.930217328019074,0.086,0.282,5.46886668414218e-16
C6orf132,3.3863791072692e-20,1.75483334721656,0.381,0.09,5.93666121295363e-16
DEFB1,4.43536097542046e-20,-0.944355531203996,0.065,0.235,7.77563132600961e-16
CYS1,4.44901839300581e-20,-0.873800406119733,0.049,0.201,7.79957414477849e-16
NOS1AP,4.55047260192757e-20,-0.960256639135421,0.245,0.513,7.97743351843923e-16
MPC1,4.68619846035912e-20,-0.676160351679581,0.057,0.222,8.21537452085557e-16
TGFBR2,5.53902146816505e-20,1.65982063765655,0.53,0.265,9.71045853584015e-16
GRB7,6.07172801024623e-20,-0.830781440422285,0.056,0.218,1.06443463747627e-15
TEX41,7.83438777103473e-20,-0.82012514184958,0.045,0.192,1.3734465201401e-15
UGT2B7,7.87272545238305e-20,1.68960573252591,0.427,0.137,1.38016749905727e-15
UST,9.65972228821525e-20,-0.705729819309721,0.037,0.175,1.69344591434702e-15
AL132780.1,1.01886583617658e-19,-0.796462386053872,0.025,0.141,1.78617369740116e-15
MYH14,1.0788668864003e-19,1.50124396152243,0.43,0.132,1.89136153854836e-15
TNS1,1.16719857099281e-19,-1.14423859773013,0.091,0.278,2.04621581480749e-15
PHACTR4,1.23350543189893e-19,-0.823316480639474,0.276,0.556,2.16245837266202e-15
KCTD8,1.36561889911961e-19,1.75131983473933,0.409,0.12,2.39406649204659e-15
RUNX1,1.67207142934845e-19,1.42139256194267,0.489,0.188,2.93130842279077e-15
ARL17B,1.69428899645163e-19,-0.86037626009935,0.069,0.239,2.97025803967935e-15
TRIM2,1.86808822710215e-19,-1.0648913518072,0.142,0.359,3.27494547093277e-15
EGFR,2.08761714903726e-19,1.47097609460508,0.478,0.184,3.65980162397722e-15
HGD,2.17155961813318e-19,-0.290780259926873,0.007,0.081,3.80696116654927e-15
SLC7A8,2.50310480545242e-19,-0.579683329844463,0.013,0.103,4.38819303443864e-15
GABRB3,2.62796661512819e-19,-0.642978071337481,0.018,0.12,4.60708827298122e-15
TUBB6,2.96493021337668e-19,1.52096992630562,0.331,0.047,5.19781915707067e-15
ARHGEF3,2.9810812068928e-19,-0.986010324955231,0.343,0.607,5.22613346380377e-15
ATP6V1A,3.20595612613982e-19,-0.935475148802972,0.09,0.278,5.62036168473572e-15
TAPT1-AS1,3.44353448815345e-19,-0.913958660779337,0.082,0.265,6.03686031118182e-15
EPB41L3,4.55672986472337e-19,-0.94587086113425,0.061,0.222,7.98840312584653e-15
ANXA1,4.96609236340081e-19,1.62639441539383,0.359,0.064,8.70605652227797e-15
C16orf45,6.72249447351892e-19,-0.950906357938152,0.081,0.256,1.1785205061526e-14
OBSCN,8.95133626729155e-19,-0.642259574473608,0.069,0.239,1.56925876101888e-14
SLC22A3,9.7111647266844e-19,-0.48019006568628,0.006,0.073,1.70246428823504e-14
PFKP,1.01149809793864e-18,1.11740269827624,0.543,0.261,1.77325731549623e-14
KLHL5,1.64359437700759e-18,-0.801585200123204,0.108,0.308,2.88138530233201e-14
SEMA4A,1.81793102292911e-18,1.87362034769744,0.325,0.047,3.18701487629702e-14
ARAP2,1.97018224060578e-18,1.3410048528645,0.416,0.132,3.453926486006e-14
STK39,1.99093025671366e-18,-1.00161847986951,0.299,0.556,3.49029983304472e-14
SLC43A1,2.35618288854643e-18,-0.277519178262952,0.002,0.051,4.13062422191075e-14
CYP3A5,2.67332019927179e-18,1.79759669751318,0.269,0.009,4.68659764134338e-14
BICDL1,3.08492843464738e-18,-1.04468661149877,0.156,0.376,5.40818803878032e-14
ARHGAP26,3.20627391139213e-18,1.13422928523229,0.614,0.355,5.62091879406154e-14
P3H2,4.01167774747568e-18,1.81394491733349,0.547,0.278,7.03287225909962e-14
FHL2,4.88197286192227e-18,1.64829357306378,0.322,0.056,8.55858662423593e-14
ING1,5.33499994721088e-18,-0.324029587600808,0.011,0.094,9.3527884074554e-14
CDH16,5.92230430163133e-18,-0.706712042101038,0.045,0.184,1.03823916711899e-13
ODC1,6.03244517565289e-18,1.89802606883415,0.306,0.043,1.05754796374371e-13
BCAM,6.25559373309173e-18,-0.786473541678138,0.044,0.179,1.09666813734831e-13
LMNA,6.5798593861449e-18,0.881497028699948,0.592,0.295,1.15351514898506e-13
PSG4,6.69499407576803e-18,-0.332825145130417,0.006,0.073,1.17369941142289e-13
EPB41,8.4153604176119e-18,-0.83277676296973,0.172,0.402,1.47529683481154e-13
SULT1C2,9.43738105656763e-18,-1.02795938625743,0.157,0.363,1.65446727302687e-13
RERE,1.01633081237609e-17,-0.682892535201618,0.615,0.85,1.78172954717652e-13
AC026894.1,1.05103416050679e-17,-0.464648599701873,0.02,0.12,1.84256798678446e-13
MLLT6,1.29504901133451e-17,-0.739811447492745,0.086,0.265,2.27035042177054e-13
RIPOR2,1.55788681022543e-17,1.97968813353241,0.293,0.034,2.7311313670062e-13
AC138123.1,1.60070178829112e-17,-0.91454855907708,0.037,0.162,2.80619030505317e-13
ABCC4,1.87184852550667e-17,1.1823931629634,0.473,0.188,3.28153765006575e-13
MALAT1,1.97416548678853e-17,-0.342425227723586,1,1,3.46090951488897e-13
ITGB5,2.11362221750049e-17,-0.798744078355744,0.079,0.248,3.70539110950012e-13
ZNRF3,2.24006056030624e-17,-0.851017302309377,0.243,0.496,3.92705016827287e-13
WNK1,2.46895319680198e-17,-1.12742330399696,0.185,0.41,4.32832184931355e-13
NR3C2,2.48399625608079e-17,-0.899046470535474,0.428,0.684,4.35469383653524e-13
RAP1GAP,2.52945016844839e-17,-0.674272436341499,0.024,0.128,4.43437909030688e-13
NFKBIZ,2.69889766673586e-17,1.20363861674652,0.56,0.333,4.73143749955463e-13
ROCK2,2.95303910307049e-17,1.35771598101307,0.534,0.299,5.17697285159287e-13
TRIM55,3.10687820499929e-17,1.92147949859347,0.271,0.017,5.44666818118426e-13
AUH,3.22157619053266e-17,-0.829824736913626,0.131,0.333,5.64774521962281e-13
XIST,3.31283504012953e-17,0.813175942286082,0.628,0.295,5.80773110885107e-13
SSH1,3.33647471682016e-17,-0.720103806834185,0.065,0.222,5.84917382605743e-13
TRPM4,3.41001306354629e-17,-0.607068562406108,0.027,0.137,5.978093901703e-13
SOS1,3.56472432004369e-17,-0.853135967323909,0.207,0.453,6.24931820546859e-13
MTX2,3.58804475292206e-17,-0.727370583784633,0.086,0.261,6.29020125634766e-13
CDH6,3.60589093256049e-17,-0.48576051343179,0.02,0.12,6.3214873938718e-13
RYR3,3.76609927604284e-17,1.93346838451957,0.27,0.021,6.60234864083071e-13
GPX3,4.5522025313845e-17,-0.667727916596861,0.027,0.137,7.98046625777016e-13
TFPI,4.66313453474357e-17,1.54219156289953,0.39,0.12,8.17494115285895e-13
LNPEP,4.81450670649802e-17,-0.840417016481005,0.123,0.321,8.44031170716168e-13
SLC9A2,4.93259223254927e-17,1.85052540383075,0.319,0.064,8.64732744288212e-13
PROX1,5.09943570415802e-17,-0.215633712109881,0.002,0.051,8.93982073295943e-13
CLDN16,5.61189945559338e-17,-0.96281117491209,0.021,0.12,9.83822093560076e-13
DGKH,7.66040856761716e-17,1.22078446158661,0.607,0.376,1.34294622598896e-12
KRT19,7.786011108712e-17,1.56679266626741,0.316,0.056,1.3649656074683e-12
CASTOR2,9.94022652491209e-17,-0.454777826524442,0.018,0.111,1.74262111208234e-12
SLC3A1,1.04016186252929e-16,-0.767902980582898,0.069,0.226,1.82350776120009e-12
NR2F1-AS1,1.1422323173212e-16,-0.463273939516493,0.016,0.107,2.0024474754958e-12
CASK,1.16848053057191e-16,1.41033787029565,0.457,0.205,2.04846321814561e-12
RGS12,1.2278177235093e-16,1.54762267951378,0.402,0.145,2.15248725108415e-12
CPEB4,1.32575002241194e-16,-0.893730085364941,0.242,0.479,2.32417236429037e-12
PISD,1.32913932914575e-16,1.16125610436403,0.625,0.427,2.33011415792541e-12
MYLK,1.39869837182329e-16,-0.797667735884765,0.022,0.12,2.45205811564341e-12
EPS8,1.45229676781119e-16,1.52019901444134,0.382,0.12,2.5460214636498e-12
AMPD3,1.5235245203959e-16,-0.478042185558895,0.014,0.098,2.67089083670605e-12
OGDHL,1.5728046873241e-16,-0.741119099004065,0.026,0.132,2.75728389734788e-12
CLDN14,1.62082269644335e-16,-0.789450412352562,0.035,0.154,2.84146426913484e-12
KANSL1,1.66713904595524e-16,-0.786635547647183,0.427,0.654,2.92266146146413e-12
APBB1IP,1.73208154882274e-16,1.80785468529329,0.251,0.013,3.03651216324115e-12
KCNN3,1.98982936944543e-16,-0.46760275177498,0.004,0.06,3.48836986757479e-12
KRT7,1.9931615203252e-16,1.33276655106294,0.31,0.051,3.49421146128211e-12
MIRLET7BHG,2.08881747581763e-16,-0.894251091052488,0.087,0.256,3.66190591685589e-12
KLHL24,2.42171764230745e-16,-0.584067926334824,0.052,0.192,4.24551319872918e-12
LGALS3,2.47881333997691e-16,1.28365513508264,0.358,0.094,4.34560766631352e-12
ACACB,2.48862715992242e-16,-0.83051112116257,0.086,0.256,4.36281227406e-12
AC245297.3,2.51940681279015e-16,-0.982478930987261,0.21,0.427,4.41677208350242e-12
PPP2R5A,2.53183068511346e-16,-0.739503868780292,0.148,0.359,4.43855237407241e-12
LLGL2,3.10712715907896e-16,-0.837805236410696,0.288,0.534,5.44710462258133e-12
