,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SLC13A3,7.03086096998954e-161,-4.73234744314848,0.002,0.827,1.23258023664887e-156
NEAT1,7.92011617758556e-127,-1.56017625558613,0.851,0.993,1.38847556709252e-122
SPP1,1.61059972837826e-125,-3.40597145153478,0.073,0.769,2.82354238381993e-121
RFX2,8.6737525549056e-120,3.21563917548762,0.478,0.024,1.5205955604005e-115
CGNL1,1.05331982984515e-118,-3.42973218780174,0.047,0.732,1.84657499370153e-114
RASSF4,5.92588784384196e-110,-3.47057069421834,0.052,0.703,1.03886739790393e-105
SYNE2,6.58933276985633e-108,-1.67090269496224,0.644,0.955,1.15517592788351e-103
CNTNAP3B,1.47772424016154e-100,-3.11623632547482,0.047,0.668,2.5905983654272e-96
CUBN,4.70463548585716e-100,-2.51070171030859,0.125,0.753,8.24769647025618e-96
CAMK1D,9.41391345592795e-97,2.97946232692095,0.386,0.015,1.65035316795873e-92
PPP2R3A,2.89274667038085e-95,-2.18032422356753,0.246,0.806,5.07127418784466e-91
MACC1,8.41397430129807e-95,2.57675109161502,0.522,0.079,1.47505383476056e-90
TGFBR2,4.29609752182017e-94,2.85887651930578,0.433,0.036,7.53148856550294e-90
HRH1,4.19795174761957e-92,3.14289780806023,0.336,0.004,7.35942920875187e-88
LAMA3,1.93969971103152e-91,3.60009099327458,0.343,0.007,3.40048756340935e-87
SGMS2,1.85040703068696e-90,2.87971657111905,0.407,0.031,3.24394856549731e-86
NOX4,1.84579911937517e-82,-3.17565514629921,0.026,0.567,3.23587043617662e-78
AC096564.1,5.32590551014599e-80,2.73487819340557,0.297,0.004,9.33684494983693e-76
EMP1,7.16582617599463e-77,2.79739910104059,0.278,0.002,1.25624098691362e-72
KCNQ1OT1,8.20927352944303e-77,-2.8162634680611,0.123,0.633,1.43916774244666e-72
SLC5A2,2.14420192050609e-76,-3.27705909859607,0.006,0.513,3.75900038683922e-72
SYNE1,1.2559515189462e-73,2.11829338772128,0.625,0.21,2.20180860786458e-69
SLC28A1,1.2584402252963e-71,-2.60972767050494,0.05,0.558,2.20617155896693e-67
HPN,4.54866848761697e-71,-2.32858827034737,0.106,0.612,7.9742707256413e-67
NR4A1,2.5597892003847e-70,2.42538633546838,0.293,0.013,4.48756644719442e-66
CLDN10,5.61818312131454e-68,-2.45456500778174,0.084,0.574,9.84923682997652e-64
RNF213,7.11089913817445e-68,-2.03313326107679,0.239,0.704,1.24661172791336e-63
FOXP2,5.0950445631913e-67,2.22091592616439,0.407,0.065,8.93212262373067e-63
CDH6,5.23071829657002e-66,-2.50817424408868,0.058,0.542,9.1699722457169e-62
NRG3,3.02117428076749e-65,2.2221434389541,0.405,0.066,5.29642063161349e-61
MAST4,9.5858741574246e-65,-1.98880318185124,0.119,0.613,1.68049959853811e-60
LMNA,1.63704179945912e-63,2.28680797875304,0.386,0.062,2.86989797863179e-59
RP1,5.20771126062848e-63,2.46616164721087,0.237,0.003,9.12963861100778e-59
MAN1C1,1.0706265247224e-61,-3.18024092192997,0.011,0.444,1.87691536049083e-57
PTH1R,1.25802310399013e-61,-2.70211650930691,0.058,0.502,2.20544030360509e-57
EDIL3,3.60221019692648e-61,2.1855638056408,0.235,0.004,6.31503469623182e-57
HIST1H2BD,7.79887575767968e-61,-3.4758700308201,0.011,0.442,1.36722090907882e-56
PRKX,1.34553104610547e-60,2.31494215785259,0.267,0.014,2.35885047692749e-56
SLC4A4,3.26612829957356e-59,-2.61774147561784,0.05,0.489,5.72584952198241e-55
ANPEP,6.32776069653828e-59,-2.94111498890733,0.019,0.444,1.10931972771013e-54
SLCO3A1,9.93359212625802e-59,2.12317558561513,0.254,0.013,1.74145803565429e-54
EZR,3.30541467095741e-58,2.18773800310053,0.489,0.139,5.79472245965544e-54
MYO1D,1.38941587689075e-56,2.14093561924465,0.347,0.055,2.43578497377718e-52
ANXA1,1.75066989315133e-55,2.27243549702847,0.198,0,3.06909938968359e-51
GDA,2.00766902572209e-55,-2.51891899090204,0.052,0.468,3.5196445689934e-51
MYOF,1.89593336636219e-54,2.18603401131404,0.237,0.012,3.32376078456955e-50
ANXA2,1.2543596012145e-53,2.01168979282179,0.239,0.014,2.19901781688915e-49
GPX3,1.20600982827827e-52,-2.45615588773199,0.037,0.437,2.11425582995463e-48
FAM20A,2.21194154950105e-52,-2.88820303944942,0.017,0.404,3.87775473043029e-48
DLG2,5.69405464767487e-52,-1.49071442833225,0.274,0.695,9.98224720283881e-48
TRABD2B,4.22722164147223e-51,-1.79606542445511,0.172,0.598,7.41074225966497e-47
GRM8,4.48121350782922e-51,2.04025249939662,0.211,0.008,7.8560154005754e-47
C3,1.05992058900506e-49,-3.28706955711667,0.03,0.405,1.85814678458477e-45
FHIT,1.44661108988899e-49,-1.2724022677404,0.394,0.757,2.53605390168438e-45
TNS3,1.52847699686672e-49,-1.78805078799364,0.159,0.575,2.67957302320705e-45
RIPOR2,2.80002242261717e-49,1.99832982430179,0.25,0.023,4.90871930909017e-45
TINAG,7.68965350921966e-48,-2.41308662128002,0.041,0.415,1.3480731567013e-43
KLF6,1.68535501474165e-47,1.80061560733581,0.476,0.159,2.95459587634358e-43
