,CK5_organoid,CK119_organoid,JX1_HC_organoid,JX2_PKD1KO_organoid,JX3_PKD2KO_organoid
DCT_1,40,59,183,2,35
EC,0,0,1,0,11
Mac,0,1,0,0,1
PC-CD/CNT,1,6,34,0,0
PT_1,9,3,6,0,0
PT_2,37,61,47,14,51
PT_3/PEC,13,4,1,0,0
PT_4,1580,843,2360,206,342
T-Cell,1,0,0,0,0
TAL_1,4,10,25,2,4
TAL_2,586,2702,2972,272,1038
vSMC/Fib,20,4,2,0,1
