,0,1,2,3,4,5,6,7
AL627309.1,0,0.0072463768115942,0,0,0,0,0,0
AL669831.5,0.0112201963534362,0.00262549884478051,0.00100077838318692,0.00123439857358387,0,0,0,0
LINC00115,0.0017921146953405,0,0,0.00315457413249212,0,0,0,0
FAM41C,0.00322580645161291,0,0.0020460358056266,0,0,0,0,0
AL645608.3,0.00640040962621608,0.000345065562456867,0,0.000450653447498873,0,0,0,0
AL645608.1,0.00779180302321958,0.00168031926065953,0.00100077838318692,0.00493759429433548,0,0,0,0
SAMD11,0.0263362942184822,5.25099768956102e-05,0.000889580785055044,0.00685776985324372,8.42601954836536e-05,0,0.00212665406427221,0.000362318840579711
NOC2L,0.0645608459056543,0.0350913794542268,0.0261596084649332,0.0349727834726957,0.0233302087518041,0.0307179122035787,0.00602937494784277,0.00460652591170826
KLHL17,0.00498675393486053,0.000945179584120982,0.00400311353274769,0.000548621588259498,0,0.00157784011220196,0.000472589792060491,0
PLEKHN1,0.0142525827535315,0.0192100028417164,0.000752219046186249,0.00950083503432918,0.000182398540811674,0.000759013282732448,0.00319693094629156,0.000196078431372549
PERM1,0.00573476702508961,0,0,0.000630914826498423,0,0,0,0
HES4,0,0.00543478260869565,0,0,0,0.00100806451612903,0,0
ISG15,0.0406456705946765,0.0805253086896457,0.0305451704197008,0.0113463812047896,0.0451691519682762,0.0311980748295422,0.0197698663989497,0.00145056246299586
AGRN,0.218025029186425,0.166463079861193,0.126839756400468,0.100459205815807,0.0956219886945635,0.0370555526320406,0.0323663616804974,0.0217600145006344
RNF223,0,0.00120772946859904,0.00127877237851663,0,0,0,0,0
C1orf159,0.0058606994090865,0.00528789659224442,0.00248842192576208,0.00545656066160799,0,0.000435919790758501,0.000293772032902468,0
AL390719.2,0.0151433691756272,0.00679347826086957,0.00319693094629156,0.0142350157728707,0.000436046511627907,0.000453629032258064,0.00122282608695652,0.000208333333333333
TTLL10,0,0.00241545893719807,0,0,0,0,0,0
TNFRSF18,0.00586510263929619,0.000878348704435662,0.000232504068821205,0.000286779466590193,0,0,0.000988142292490119,0
SDF4,0.057635849498388,0.0234991382030928,0.00289169633332905,0.0183250638048286,0.00381753729889759,0.000992867563624575,0.00136552326851649,0
B3GALT6,0.0216156603253377,0.00449646971386101,0.00141648632697226,0.00237806357680175,0.00149075730471079,0.00155086848635236,0.000668896321070234,0.000256410256410257
C1QTNF12,0.000448028673835126,0.00241545893719807,0,0.000788643533123029,0,0,0,0
UBE2J2,0.035941855834329,0.0352173913043478,0.049156010230179,0.0235821941815633,0.0131007751937984,0.0206451612903226,0.0127777777777778,0.00625925925925926
SCNN1D,0.000256016385048643,0,0.00146145414687614,0.00405588102748986,0,0,0.0015527950310559,0
ACAP3,0.0117709351580319,0.00548967940272288,0.00145315043013253,0.0017923716661887,8.80902043692742e-05,0.000366568914956012,0.00395256916996048,0
PUSL1,0.0224014336917563,0.00721655633088806,0.0115089514066496,0.0103010476301749,0.00289501387692602,0.0224014336917563,0.000603864734299517,0.000102880658436214
INTS11,0.0495830896357283,0.0331544478806622,0.0342432770816167,0.0253685836094136,0.0202718043527618,0.0324267782426778,0.00909587047480444,0.00223152022315202
CPTP,0.0139039234081451,0.0136335635314334,0.0210267941433942,0.0111997967522707,0.00127464752094064,0.0108248538644728,7.2950102130143e-05,0
DVL1,0.0155697907928519,0.0198033371021345,0.0104478424117103,0.0108284672349375,0.00134696794766067,0.00285975749256463,0.00377736663583102,0.000472813238770685
MXRA8,0,0.000241545893719807,0,0,0.000387596899224806,0.00161290322580645,0.00434782608695652,0.0266666666666667
AURKAIP1,0.174181398456959,0.163614883438023,0.151718756773159,0.113853392503876,0.117311410176999,0.112473638990862,0.0280503210864302,0.0262227602905569
CCNL2,0.0777926468516693,0.0390059700862815,0.0214655066507332,0.0497637513258854,0.0092160048745811,0.00595154247077053,0.0060755648376685,0.00294759825327511
MRPL20,0.133641856983771,0.130520902536847,0.125106926213314,0.108917607950884,0.110062603370141,0.110447815689067,0.0214131049924953,0.0245331069609508
AL391244.3,0.00201612903225807,0.00120772946859904,0.000319693094629156,0.000394321766561515,0.000484496124031008,0,0,0
ANKRD65,0.00460829493087558,0.000172532781228434,0.00164413591523566,0.00202794051374493,0.000276854928017719,0,0,0
VWA1,0.0553675714966038,0.0246275463666768,0.0165346162788618,0.0741655820520174,0.000216837426139752,0.000690841416647868,0,0.000233100233100233
ATAD3C,0.0207420682331077,0.000715691536947577,0.000757791039120963,0.0210889122561047,0.000287108814240597,0,0,0
ATAD3B,0.006199748135232,0.00326413369891631,0.00677403746457456,0.0051581550004263,0.000471401634192332,0.0122602441150828,0.00367215041128084,0
ATAD3A,0.00588181233342524,0.00374705809488418,0.00472162108990754,0.00258836851896789,0.00178890876565295,0.0167493796526055,0.00348383500557413,0.000854700854700855
TMEM240,0.000448028673835126,0.00241545893719807,0,0.000788643533123029,0,0,0,0
SSU72,0.0860918261670055,0.0698960864395389,0.0562477381998656,0.0643705668105793,0.0340864050733254,0.033830693107284,0.00942201313136536,0.00792707094728498
AL645728.1,0.000597371565113501,0.000201288244766506,0.000213128729752771,0.0065720294426919,0.00129198966408269,0,0.000905797101449276,0
FNDC10,0.00204813108038915,0.000172532781228434,0,0.00811176205497972,0,0.00115207373271889,0,0.00119047619047619
AL691432.2,0.00674678473539954,0.00014208581983518,0.000601775236949,0.00463907960660604,0,0,0,0.000980392156862745
MIB2,0.0220797720797721,0.00523349436392915,0.00472162108990754,0.0103534740758716,0.000198767640628106,0.000206782464846981,0.000139353400222966,0.000213675213675214
MMP23B,0.0011520737327189,0.0015527950310559,0.00657654366094264,0,0,0.00115207373271889,0,0
CDK11B,0.031287952842205,0.0115383079809957,0.0108220075669506,0.0275829705138567,0.00360369017874303,0.0192615302585977,0.00646784045993532,0.00110192837465565
FO704657.1,0,0,0,0.00630914826498424,0,0,0,0
SLC35E2B,0.0217741935483871,0.00257648953301127,0.00345268542199488,0.00425867507886435,0.000581395348837209,6.72043010752688e-05,0.0016304347826087,0
CDK11A,0.0188334962528511,0.00968379446640316,0.00455707974889561,0.0165184972755951,0.000880902043692741,0.00179618768328446,0.00158102766798419,0.000151515151515152
SLC35E2A,0.00809251792114695,0.00849184782608695,0.0014386189258312,0.0110902996845426,0.000968992248062016,0.000567036290322581,0.00271739130434783,0
NADK,0.0149224599879343,0.0126512651265126,0.00496315616216353,0.00799575225661367,0.00188042060019955,0.00483072500798467,0,0.000165016501650165
GNB1,0.0791974204513525,0.116904979632555,0.102754128503176,0.0277940298327412,0.0524738020069071,0.0474966076605193,0.0210428963338598,0.01434034416826
AL109917.1,0,0,0,0,0,0,0.0108695652173913,0
TMEM52,0.00017921146953405,0.000241545893719807,0.0040920716112532,0.0028391167192429,0.000387596899224806,0,0,0
PRKCZ,0.0161290322580645,0.0030570652173913,0.0032368925831202,0.00833004731861199,0.000242248062015504,0.000567036290322581,0.00152853260869565,0.000260416666666667
AL590822.2,0,0,0,0,0,0,0.0108695652173913,0
PRKCZ-AS1,0.0017921146953405,0,0,0,0,0,0,0
FAAP20,0.154019457245264,0.126919518963922,0.108359051298595,0.0945106574746148,0.0886784006031903,0.082988528287087,0.0237874983480904,0.0263525835866261
SKI,0.0304345092120983,0.00542418849055005,0.0064836003051106,0.011068681166639,0.000849993200054399,0.000318336162988115,0.0015255530129672,0.00365497076023392
MORN1,0.00327700972862264,6.90131124913735e-05,0.00263061746437706,0.0176656151419559,0.000996677740863788,0.00011520737327189,0.00031055900621118,0.000476190476190477
RER1,0.0941171631705741,0.146378395501703,0.116885665171272,0.0786574959921394,0.0796263820053374,0.11660497091486,0.0164219529579473,0.0211584699453552
PEX10,0.0250038586201574,0.0141575942491274,0.0149903939108408,0.0206632152506302,0.00741812247320203,0.00493903380151259,0.00520074890784273,0.000318979266347687
PLCH2,0.000597371565113501,0,0.000852514919011083,0,0.00129198966408269,0,0,0
PANK4,0.00716845878136201,0.00167740203972088,0.00454674623472578,0.00560813179109709,0.000107665805340224,0.000112007168458781,0.000301932367149759,0
AL139246.5,0.0012108883076625,0.00652826739783262,0.00248842192576208,0.00852587603376246,0.000104755918709407,0.000980819529206626,0.00117508813160987,0
TNFRSF14-AS1,0.00546168288103773,0.0010351966873706,0.000121787845573012,0.00961394021330931,0,0,0.0005175983436853,0
TNFRSF14,0.028480092996222,0.0147103625364495,0.00451602497638304,0.00639440702532185,0.000558698233116838,0.0001453065969195,0.00626713670191931,0
FAM213B,0.0358849633043181,0.00971934667586841,0.0102910729509195,0.0243352861649392,0.00332225913621263,0.00194412442396313,6.46997929606625e-05,0
MMEL1,0.00220567962503447,0.00167224080267558,0.000786936848317923,0.00218393593787915,0,0,0.000836120401337793,0
TTC34,0.000716845878136201,0.000966183574879228,0.00230179028132992,0.000315457413249212,0,0.000403225806451613,0.00108695652173913,0
ARHGEF16,0.0263806991174317,0.0125707755441276,0.00704012320215605,0.00339201519622808,0,0.00277488727020465,0,0
AL512413.1,0.0017921146953405,0,0,0,0,0,0,0
MEGF6,0.000137854976564654,0.00167224080267558,0.000786936848317923,0.00218393593787915,0.000298151460942159,0.000310173697270471,0.00334448160535117,0
TPRG1L,0.0101553166069295,0.00928294022923178,0.00320946793039467,0.000556689552792725,0.0027359781121751,0.000316255534471853,0.000213128729752771,0
WRAP73,0.00922748417600854,0.00578168362627197,0.0061217826631115,0.0134237197127324,0.00333993072736269,0.00347460535346603,0.00185013876040703,0
SMIM1,0.0826271689335137,0.0278417634449883,0.0122287901627682,0.0250799089142833,0.00463319472252169,0.000480666524246956,0.00435502447451771,0.00022075055187638
LRRC47,0.0120469932297889,0.00754830917874396,0.00287723785166241,0.00630914826498423,0.000484496124031008,0.00453629032258065,0.000603864734299517,0
AL365330.1,0,0,0,0.00315457413249211,0,0,0,0
CEP104,0.0184971838197645,0.00422705314009662,0.00824351479722324,0.0148997296079315,0.00169573643410853,0.0029161866359447,0.0015527950310559,0.000595238095238096
DFFB,0.00134408602150538,0.00322061191626409,0.00191815856777494,0,0.00129198966408269,0,0,0
C1orf174,0.0114289578683979,0.00658554370613435,0.00347440042464894,0.0076185941313017,0.00296182536200087,0.00973828362751066,0.00164068908941756,0.00566037735849056
LINC01134,0.000597371565113501,0,0,0.00105152471083071,0,0.00134408602150538,0,0
AJAP1,0.00560035842293907,0.00188707729468599,0.000719309462915601,9.85804416403787e-05,0.000484496124031008,0.00315020161290322,0,0.01875
NPHP4,0.00674678473539954,0.000568343279340722,0.00135399428313525,0.00167006865837818,0,0.00023719165085389,0,0
KCNAB2,0.00358422939068101,0,0,0,0,0,0,0
CHD5,0,0,0,0,0,0,0,0.0166666666666667
RPL22,0.23746556727766,0.177453921988856,0.167595370767252,0.134167431760193,0.110587226746678,0.105445363162479,0.0394342048864123,0.0257179597085298
AL031847.1,0.00358422939068101,0,0,0,0,0,0,0
