cluster,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
0,RPL34,1.40107251353292e-97,0.306666927328308,1,0.999,2.41797094385511e-93
0,CLU,2.12053449330879e-91,0.806207504330036,0.996,0.964,3.6596184285523e-87
0,FXYD2,4.74718946884709e-85,0.488737445888442,0.995,0.986,8.19269958533631e-81
0,PFDN5,1.53890484775707e-81,0.349499111542681,0.993,0.99,2.65584198625915e-77
0,SAA1,5.26190032418035e-81,1.2483758409866,0.916,0.778,9.08098757947046e-77
0,FTL,9.03263627151283e-81,0.50636834336904,1,0.997,1.55885236773768e-76
0,LTF,2.25041366910714e-80,1.39102880449532,0.754,0.424,3.8837639101451e-76
0,SAA2,1.96417423339626e-76,1.37975070136128,0.864,0.678,3.38977189199526e-72
0,SLC34A2,1.01296487110092e-73,0.595495046092393,0.905,0.679,1.74817477454597e-69
0,C1R,3.9926540431319e-73,0.563583728240829,0.57,0.208,6.89052234763704e-69
0,GMDS,1.86823801925749e-71,0.550438005967782,0.783,0.51,3.22420517363457e-67
0,SLPI,5.82636049966283e-66,0.905703120154679,0.973,0.88,1.00551329503181e-61
0,ADAMTS1,2.3154252703497e-65,0.633428004286782,0.892,0.695,3.99596093156951e-61
0,C3,1.0102620757774e-61,0.696808003395903,0.889,0.693,1.74351029037664e-57
0,SOD2,7.0196751515401e-61,0.678946490267708,0.903,0.812,1.21145553765279e-56
0,GYPC,1.0646972721411e-59,0.458055237107349,0.803,0.541,1.83745455226112e-55
0,C1S,1.48125343221422e-51,0.40949506971868,0.409,0.133,2.5563471733153e-47
0,IL4I1,2.20551467076882e-51,0.471002158082831,0.504,0.225,3.80627721881283e-47
0,VCAN,2.5464484201831e-51,0.414844600896121,0.955,0.916,4.39466068355199e-47
0,IFI27L2,1.0448481698422e-50,0.407106076398173,0.9,0.79,1.80319897151367e-46
0,MT-ND3,5.30156677413188e-50,0.343995139562932,0.995,0.996,9.14944393879679e-46
